#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,1.776E+02
4.000E-02,1.022E+02
6.000E-02,7.407E+01
8.000E-02,5.897E+01
1.000E-01,4.947E+01
1.200E-01,4.293E+01
1.400E-01,3.812E+01
1.600E-01,3.444E+01
1.800E-01,3.153E+01
2.000E-01,2.916E+01
2.200E-01,2.720E+01
2.400E-01,2.555E+01
2.600E-01,2.414E+01
2.800E-01,2.292E+01
3.000E-01,2.185E+01
3.200E-01,2.092E+01
3.400E-01,2.008E+01
3.600E-01,1.934E+01
3.800E-01,1.867E+01
4.000E-01,1.807E+01
4.200E-01,1.752E+01
4.400E-01,1.702E+01
4.600E-01,1.656E+01
4.800E-01,1.614E+01
5.000E-01,1.575E+01
5.200E-01,1.540E+01
5.400E-01,1.506E+01
5.600E-01,1.475E+01
5.800E-01,1.447E+01
6.000E-01,1.420E+01
6.200E-01,1.395E+01
6.400E-01,1.371E+01
6.600E-01,1.349E+01
6.800E-01,1.328E+01
7.000E-01,1.308E+01
7.200E-01,1.290E+01
7.400E-01,1.272E+01
7.600E-01,1.256E+01
7.800E-01,1.240E+01
8.000E-01,1.225E+01
8.200E-01,1.211E+01
8.400E-01,1.198E+01
8.600E-01,1.185E+01
8.800E-01,1.173E+01
9.000E-01,1.161E+01
9.200E-01,1.150E+01
9.400E-01,1.139E+01
9.600E-01,1.129E+01
9.800E-01,1.119E+01
1.000E+00,1.110E+01
1.020E+00,1.101E+01
1.040E+00,1.093E+01
1.060E+00,1.084E+01
1.080E+00,1.076E+01
1.100E+00,1.069E+01
1.120E+00,1.062E+01
1.140E+00,1.055E+01
1.160E+00,1.048E+01
1.180E+00,1.041E+01
1.200E+00,1.035E+01
1.220E+00,1.029E+01
1.240E+00,1.023E+01
1.260E+00,1.018E+01
1.280E+00,1.012E+01
1.300E+00,1.007E+01
1.320E+00,1.002E+01
1.340E+00,9.973E+00
1.360E+00,9.926E+00
1.380E+00,9.881E+00
1.400E+00,9.837E+00
1.420E+00,9.794E+00
1.440E+00,9.753E+00
1.460E+00,9.713E+00
1.480E+00,9.675E+00
1.500E+00,9.638E+00
1.520E+00,9.601E+00
1.540E+00,9.566E+00
1.560E+00,9.532E+00
1.580E+00,9.499E+00
1.600E+00,9.467E+00
1.620E+00,9.436E+00
1.640E+00,9.406E+00
1.660E+00,9.377E+00
1.680E+00,9.349E+00
1.700E+00,9.321E+00
1.720E+00,9.295E+00
1.740E+00,9.269E+00
1.760E+00,9.243E+00
1.780E+00,9.219E+00
1.800E+00,9.195E+00
1.820E+00,9.172E+00
1.840E+00,9.149E+00
1.860E+00,9.127E+00
1.880E+00,9.106E+00
1.900E+00,9.085E+00
1.920E+00,9.065E+00
1.940E+00,9.046E+00
1.960E+00,9.027E+00
1.980E+00,9.008E+00
2.000E+00,8.990E+00
