#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,5.190E+00
4.000E-02,2.967E+00
6.000E-02,2.137E+00
8.000E-02,1.696E+00
1.000E-01,1.420E+00
1.200E-01,1.230E+00
1.400E-01,1.091E+00
1.600E-01,9.846E-01
1.800E-01,9.006E-01
2.000E-01,8.324E-01
2.200E-01,7.760E-01
2.400E-01,7.285E-01
2.600E-01,6.879E-01
2.800E-01,6.528E-01
3.000E-01,6.223E-01
3.200E-01,5.953E-01
3.400E-01,5.715E-01
3.600E-01,5.501E-01
3.800E-01,5.310E-01
4.000E-01,5.137E-01
4.200E-01,4.979E-01
4.400E-01,4.836E-01
4.600E-01,4.705E-01
4.800E-01,4.585E-01
5.000E-01,4.474E-01
5.200E-01,4.371E-01
5.400E-01,4.276E-01
5.600E-01,4.188E-01
5.800E-01,4.105E-01
6.000E-01,4.028E-01
6.200E-01,3.956E-01
6.400E-01,3.889E-01
6.600E-01,3.825E-01
6.800E-01,3.766E-01
7.000E-01,3.710E-01
7.200E-01,3.657E-01
7.400E-01,3.607E-01
7.600E-01,3.559E-01
7.800E-01,3.514E-01
8.000E-01,3.472E-01
8.200E-01,3.431E-01
8.400E-01,3.393E-01
8.600E-01,3.356E-01
8.800E-01,3.321E-01
9.000E-01,3.288E-01
9.200E-01,3.256E-01
9.400E-01,3.226E-01
9.600E-01,3.196E-01
9.800E-01,3.169E-01
1.000E+00,3.142E-01
1.020E+00,3.117E-01
1.040E+00,3.092E-01
1.060E+00,3.069E-01
1.080E+00,3.046E-01
1.100E+00,3.024E-01
1.120E+00,3.004E-01
1.140E+00,2.984E-01
1.160E+00,2.964E-01
1.180E+00,2.946E-01
1.200E+00,2.928E-01
1.220E+00,2.911E-01
1.240E+00,2.894E-01
1.260E+00,2.878E-01
1.280E+00,2.863E-01
1.300E+00,2.848E-01
1.320E+00,2.833E-01
1.340E+00,2.819E-01
1.360E+00,2.806E-01
1.380E+00,2.793E-01
1.400E+00,2.780E-01
1.420E+00,2.768E-01
1.440E+00,2.756E-01
1.460E+00,2.745E-01
1.480E+00,2.734E-01
1.500E+00,2.723E-01
1.520E+00,2.713E-01
1.540E+00,2.703E-01
1.560E+00,2.693E-01
1.580E+00,2.684E-01
1.600E+00,2.674E-01
1.620E+00,2.665E-01
1.640E+00,2.657E-01
1.660E+00,2.648E-01
1.680E+00,2.640E-01
1.700E+00,2.632E-01
1.720E+00,2.625E-01
1.740E+00,2.617E-01
1.760E+00,2.610E-01
1.780E+00,2.603E-01
1.800E+00,2.596E-01
1.820E+00,2.589E-01
1.840E+00,2.583E-01
1.860E+00,2.577E-01
1.880E+00,2.570E-01
1.900E+00,2.564E-01
1.920E+00,2.559E-01
1.940E+00,2.553E-01
1.960E+00,2.547E-01
1.980E+00,2.542E-01
2.000E+00,2.537E-01
