#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,7.561E+03
4.000E-02,3.857E+03
6.000E-02,2.666E+03
8.000E-02,2.071E+03
1.000E-01,1.711E+03
1.200E-01,1.469E+03
1.400E-01,1.295E+03
1.600E-01,1.163E+03
1.800E-01,1.060E+03
2.000E-01,9.766E+02
2.200E-01,9.081E+02
2.400E-01,8.508E+02
2.600E-01,8.019E+02
2.800E-01,7.599E+02
3.000E-01,7.234E+02
3.200E-01,6.913E+02
3.400E-01,6.628E+02
3.600E-01,6.375E+02
3.800E-01,6.148E+02
4.000E-01,5.943E+02
4.200E-01,5.757E+02
4.400E-01,5.588E+02
4.600E-01,5.434E+02
4.800E-01,5.292E+02
5.000E-01,5.161E+02
5.200E-01,5.040E+02
5.400E-01,4.929E+02
5.600E-01,4.825E+02
5.800E-01,4.728E+02
6.000E-01,4.638E+02
6.200E-01,4.554E+02
6.400E-01,4.475E+02
6.600E-01,4.401E+02
6.800E-01,4.331E+02
7.000E-01,4.265E+02
7.200E-01,4.203E+02
7.400E-01,4.145E+02
7.600E-01,4.089E+02
7.800E-01,4.037E+02
8.000E-01,3.987E+02
8.200E-01,3.940E+02
8.400E-01,3.895E+02
8.600E-01,3.852E+02
8.800E-01,3.812E+02
9.000E-01,3.773E+02
9.200E-01,3.736E+02
9.400E-01,3.700E+02
9.600E-01,3.667E+02
9.800E-01,3.634E+02
1.000E+00,3.603E+02
1.020E+00,3.574E+02
1.040E+00,3.545E+02
1.060E+00,3.518E+02
1.080E+00,3.492E+02
1.100E+00,3.466E+02
1.120E+00,3.442E+02
1.140E+00,3.419E+02
1.160E+00,3.397E+02
1.180E+00,3.375E+02
1.200E+00,3.354E+02
1.220E+00,3.334E+02
1.240E+00,3.315E+02
1.260E+00,3.296E+02
1.280E+00,3.278E+02
1.300E+00,3.261E+02
1.320E+00,3.244E+02
1.340E+00,3.228E+02
1.360E+00,3.212E+02
1.380E+00,3.197E+02
1.400E+00,3.183E+02
1.420E+00,3.168E+02
1.440E+00,3.153E+02
1.460E+00,3.139E+02
1.480E+00,3.126E+02
1.500E+00,3.113E+02
1.520E+00,3.100E+02
1.540E+00,3.087E+02
1.560E+00,3.075E+02
1.580E+00,3.064E+02
1.600E+00,3.052E+02
1.620E+00,3.041E+02
1.640E+00,3.031E+02
1.660E+00,3.020E+02
1.680E+00,3.010E+02
1.700E+00,3.000E+02
1.720E+00,2.991E+02
1.740E+00,2.981E+02
1.760E+00,2.972E+02
1.780E+00,2.963E+02
1.800E+00,2.955E+02
1.820E+00,2.946E+02
1.840E+00,2.938E+02
1.860E+00,2.930E+02
1.880E+00,2.923E+02
1.900E+00,2.915E+02
1.920E+00,2.908E+02
1.940E+00,2.901E+02
1.960E+00,2.894E+02
1.980E+00,2.887E+02
2.000E+00,2.880E+02
