#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.027E+03
4.000E-02,3.057E+03
6.000E-02,2.108E+03
8.000E-02,1.635E+03
1.000E-01,1.350E+03
1.200E-01,1.158E+03
1.400E-01,1.020E+03
1.600E-01,9.157E+02
1.800E-01,8.341E+02
2.000E-01,7.683E+02
2.200E-01,7.142E+02
2.400E-01,6.689E+02
2.600E-01,6.304E+02
2.800E-01,5.972E+02
3.000E-01,5.684E+02
3.200E-01,5.431E+02
3.400E-01,5.207E+02
3.600E-01,5.007E+02
3.800E-01,4.828E+02
4.000E-01,4.666E+02
4.200E-01,4.520E+02
4.400E-01,4.387E+02
4.600E-01,4.265E+02
4.800E-01,4.153E+02
5.000E-01,4.050E+02
5.200E-01,3.955E+02
5.400E-01,3.867E+02
5.600E-01,3.785E+02
5.800E-01,3.709E+02
6.000E-01,3.638E+02
6.200E-01,3.572E+02
6.400E-01,3.510E+02
6.600E-01,3.451E+02
6.800E-01,3.396E+02
7.000E-01,3.345E+02
7.200E-01,3.296E+02
7.400E-01,3.250E+02
7.600E-01,3.206E+02
7.800E-01,3.165E+02
8.000E-01,3.126E+02
8.200E-01,3.089E+02
8.400E-01,3.053E+02
8.600E-01,3.019E+02
8.800E-01,2.987E+02
9.000E-01,2.957E+02
9.200E-01,2.928E+02
9.400E-01,2.900E+02
9.600E-01,2.873E+02
9.800E-01,2.848E+02
1.000E+00,2.823E+02
1.020E+00,2.800E+02
1.040E+00,2.778E+02
1.060E+00,2.756E+02
1.080E+00,2.735E+02
1.100E+00,2.716E+02
1.120E+00,2.696E+02
1.140E+00,2.678E+02
1.160E+00,2.660E+02
1.180E+00,2.643E+02
1.200E+00,2.627E+02
1.220E+00,2.611E+02
1.240E+00,2.596E+02
1.260E+00,2.581E+02
1.280E+00,2.567E+02
1.300E+00,2.554E+02
1.320E+00,2.540E+02
1.340E+00,2.528E+02
1.360E+00,2.515E+02
1.380E+00,2.503E+02
1.400E+00,2.491E+02
1.420E+00,2.479E+02
1.440E+00,2.467E+02
1.460E+00,2.456E+02
1.480E+00,2.446E+02
1.500E+00,2.435E+02
1.520E+00,2.425E+02
1.540E+00,2.416E+02
1.560E+00,2.406E+02
1.580E+00,2.397E+02
1.600E+00,2.388E+02
1.620E+00,2.379E+02
1.640E+00,2.371E+02
1.660E+00,2.363E+02
1.680E+00,2.355E+02
1.700E+00,2.347E+02
1.720E+00,2.339E+02
1.740E+00,2.332E+02
1.760E+00,2.325E+02
1.780E+00,2.318E+02
1.800E+00,2.311E+02
1.820E+00,2.305E+02
1.840E+00,2.298E+02
1.860E+00,2.292E+02
1.880E+00,2.286E+02
1.900E+00,2.280E+02
1.920E+00,2.274E+02
1.940E+00,2.269E+02
1.960E+00,2.263E+02
1.980E+00,2.258E+02
2.000E+00,2.252E+02
