#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.590E+01
4.000E-02,4.644E+01
6.000E-02,5.675E+01
8.000E-02,6.704E+01
1.000E-01,7.734E+01
1.200E-01,8.763E+01
1.400E-01,9.799E+01
1.600E-01,1.084E+02
1.800E-01,1.187E+02
2.000E-01,1.291E+02
2.200E-01,1.395E+02
2.400E-01,1.498E+02
2.600E-01,1.602E+02
2.800E-01,1.707E+02
3.000E-01,1.811E+02
3.200E-01,1.915E+02
3.400E-01,2.019E+02
3.600E-01,2.123E+02
3.800E-01,2.228E+02
4.000E-01,2.332E+02
4.200E-01,2.436E+02
4.400E-01,2.540E+02
4.600E-01,2.645E+02
4.800E-01,2.749E+02
5.000E-01,2.854E+02
5.200E-01,2.958E+02
5.400E-01,3.062E+02
5.600E-01,3.167E+02
5.800E-01,3.271E+02
6.000E-01,3.376E+02
6.200E-01,3.480E+02
6.400E-01,3.585E+02
6.600E-01,3.689E+02
6.800E-01,3.794E+02
7.000E-01,3.898E+02
7.200E-01,4.003E+02
7.400E-01,4.108E+02
7.600E-01,4.212E+02
7.800E-01,4.317E+02
8.000E-01,4.422E+02
8.200E-01,4.527E+02
8.400E-01,4.631E+02
8.600E-01,4.736E+02
8.800E-01,4.840E+02
9.000E-01,4.945E+02
9.200E-01,5.050E+02
9.400E-01,5.155E+02
9.600E-01,5.260E+02
9.800E-01,5.364E+02
1.000E+00,5.469E+02
1.020E+00,5.576E+02
1.040E+00,5.682E+02
1.060E+00,5.788E+02
1.080E+00,5.895E+02
1.100E+00,6.001E+02
1.120E+00,6.108E+02
1.140E+00,6.214E+02
1.160E+00,6.320E+02
1.180E+00,6.427E+02
1.200E+00,6.533E+02
1.220E+00,6.640E+02
1.240E+00,6.746E+02
1.260E+00,6.853E+02
1.280E+00,6.959E+02
1.300E+00,7.066E+02
1.320E+00,7.172E+02
1.340E+00,7.279E+02
1.360E+00,7.385E+02
1.380E+00,7.492E+02
1.400E+00,7.598E+02
1.420E+00,7.705E+02
1.440E+00,7.811E+02
1.460E+00,7.918E+02
1.480E+00,8.024E+02
1.500E+00,8.131E+02
1.520E+00,8.237E+02
1.540E+00,8.344E+02
1.560E+00,8.451E+02
1.580E+00,8.557E+02
1.600E+00,8.664E+02
1.620E+00,8.770E+02
1.640E+00,8.877E+02
1.660E+00,8.983E+02
1.680E+00,9.090E+02
1.700E+00,9.197E+02
1.720E+00,9.303E+02
1.740E+00,9.410E+02
1.760E+00,9.516E+02
1.780E+00,9.623E+02
1.800E+00,9.730E+02
1.820E+00,9.836E+02
1.840E+00,9.943E+02
1.860E+00,1.005E+03
1.880E+00,1.016E+03
1.900E+00,1.026E+03
1.920E+00,1.037E+03
1.940E+00,1.048E+03
1.960E+00,1.058E+03
1.980E+00,1.069E+03
2.000E+00,1.080E+03
