#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.274E-01
4.000E-02,4.067E-01
6.000E-02,4.793E-01
8.000E-02,5.503E-01
1.000E-01,6.207E-01
1.200E-01,6.905E-01
1.400E-01,7.605E-01
1.600E-01,8.304E-01
1.800E-01,9.001E-01
2.000E-01,9.699E-01
2.200E-01,1.039E+00
2.400E-01,1.109E+00
2.600E-01,1.178E+00
2.800E-01,1.248E+00
3.000E-01,1.318E+00
3.200E-01,1.387E+00
3.400E-01,1.456E+00
3.600E-01,1.526E+00
3.800E-01,1.595E+00
4.000E-01,1.665E+00
4.200E-01,1.734E+00
4.400E-01,1.804E+00
4.600E-01,1.873E+00
4.800E-01,1.943E+00
5.000E-01,2.012E+00
5.200E-01,2.082E+00
5.400E-01,2.151E+00
5.600E-01,2.221E+00
5.800E-01,2.290E+00
6.000E-01,2.360E+00
6.200E-01,2.429E+00
6.400E-01,2.499E+00
6.600E-01,2.568E+00
6.800E-01,2.638E+00
7.000E-01,2.707E+00
7.200E-01,2.777E+00
7.400E-01,2.847E+00
7.600E-01,2.916E+00
7.800E-01,2.986E+00
8.000E-01,3.056E+00
8.200E-01,3.125E+00
8.400E-01,3.195E+00
8.600E-01,3.264E+00
8.800E-01,3.334E+00
9.000E-01,3.404E+00
9.200E-01,3.473E+00
9.400E-01,3.543E+00
9.600E-01,3.613E+00
9.800E-01,3.682E+00
1.000E+00,3.752E+00
1.020E+00,3.823E+00
1.040E+00,3.893E+00
1.060E+00,3.964E+00
1.080E+00,4.034E+00
1.100E+00,4.105E+00
1.120E+00,4.176E+00
1.140E+00,4.246E+00
1.160E+00,4.317E+00
1.180E+00,4.387E+00
1.200E+00,4.458E+00
1.220E+00,4.529E+00
1.240E+00,4.599E+00
1.260E+00,4.670E+00
1.280E+00,4.740E+00
1.300E+00,4.811E+00
1.320E+00,4.882E+00
1.340E+00,4.952E+00
1.360E+00,5.023E+00
1.380E+00,5.094E+00
1.400E+00,5.164E+00
1.420E+00,5.235E+00
1.440E+00,5.306E+00
1.460E+00,5.376E+00
1.480E+00,5.447E+00
1.500E+00,5.518E+00
1.520E+00,5.588E+00
1.540E+00,5.659E+00
1.560E+00,5.730E+00
1.580E+00,5.800E+00
1.600E+00,5.871E+00
1.620E+00,5.942E+00
1.640E+00,6.012E+00
1.660E+00,6.083E+00
1.680E+00,6.154E+00
1.700E+00,6.224E+00
1.720E+00,6.295E+00
1.740E+00,6.366E+00
1.760E+00,6.437E+00
1.780E+00,6.507E+00
1.800E+00,6.578E+00
1.820E+00,6.649E+00
1.840E+00,6.719E+00
1.860E+00,6.790E+00
1.880E+00,6.861E+00
1.900E+00,6.932E+00
1.920E+00,7.002E+00
1.940E+00,7.073E+00
1.960E+00,7.144E+00
1.980E+00,7.214E+00
2.000E+00,7.285E+00
