Kinetic_energy,Total_st_pw
1.000E-02,2.095E+01
1.250E-02,1.763E+01
1.500E-02,1.530E+01
1.750E-02,1.358E+01
2.000E-02,1.225E+01
2.500E-02,1.032E+01
3.000E-02,8.981E+00
3.500E-02,7.996E+00
4.000E-02,7.239E+00
4.500E-02,6.638E+00
5.000E-02,6.149E+00
5.500E-02,5.742E+00
6.000E-02,5.399E+00
7.000E-02,4.851E+00
8.000E-02,4.433E+00
9.000E-02,4.103E+00
1.000E-01,3.836E+00
1.250E-01,3.349E+00
1.500E-01,3.020E+00
1.750E-01,2.784E+00
2.000E-01,2.607E+00
2.500E-01,2.360E+00
3.000E-01,2.200E+00
3.500E-01,2.088E+00
4.000E-01,2.007E+00
4.500E-01,1.944E+00
5.000E-01,1.896E+00
5.500E-01,1.858E+00
6.000E-01,1.828E+00
7.000E-01,1.784E+00
8.000E-01,1.755E+00
9.000E-01,1.735E+00
1.000E+00,1.721E+00
1.250E+00,1.705E+00
1.500E+00,1.701E+00
1.750E+00,1.704E+00
2.000E+00,1.710E+00
2.500E+00,1.728E+00
3.000E+00,1.748E+00
3.500E+00,1.768E+00
4.000E+00,1.788E+00
4.500E+00,1.808E+00
5.000E+00,1.827E+00
5.500E+00,1.845E+00
6.000E+00,1.863E+00
7.000E+00,1.898E+00
8.000E+00,1.931E+00
9.000E+00,1.963E+00
1.000E+01,1.993E+00
1.250E+01,2.066E+00
1.500E+01,2.136E+00
1.750E+01,2.204E+00
2.000E+01,2.270E+00
2.500E+01,2.398E+00
3.000E+01,2.524E+00
3.500E+01,2.648E+00
4.000E+01,2.772E+00
4.500E+01,2.894E+00
5.000E+01,3.017E+00
5.500E+01,3.139E+00
6.000E+01,3.261E+00
7.000E+01,3.504E+00
8.000E+01,3.748E+00
9.000E+01,3.991E+00
1.000E+02,4.235E+00
1.250E+02,4.844E+00
1.500E+02,5.454E+00
1.750E+02,6.065E+00
2.000E+02,6.676E+00
2.500E+02,7.902E+00
3.000E+02,9.129E+00
3.500E+02,1.036E+01
4.000E+02,1.159E+01
4.500E+02,1.282E+01
5.000E+02,1.405E+01
5.500E+02,1.529E+01
6.000E+02,1.652E+01
7.000E+02,1.899E+01
8.000E+02,2.147E+01
9.000E+02,2.394E+01
1.000E+03,2.641E+01
