#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.176E+02
4.000E-02,3.878E+02
6.000E-02,4.564E+02
8.000E-02,5.248E+02
1.000E-01,5.934E+02
1.200E-01,6.618E+02
1.400E-01,7.307E+02
1.600E-01,7.996E+02
1.800E-01,8.686E+02
2.000E-01,9.378E+02
2.200E-01,1.006E+03
2.400E-01,1.075E+03
2.600E-01,1.144E+03
2.800E-01,1.214E+03
3.000E-01,1.283E+03
3.200E-01,1.352E+03
3.400E-01,1.421E+03
3.600E-01,1.490E+03
3.800E-01,1.560E+03
4.000E-01,1.629E+03
4.200E-01,1.698E+03
4.400E-01,1.767E+03
4.600E-01,1.836E+03
4.800E-01,1.906E+03
5.000E-01,1.975E+03
5.200E-01,2.044E+03
5.400E-01,2.114E+03
5.600E-01,2.183E+03
5.800E-01,2.252E+03
6.000E-01,2.322E+03
6.200E-01,2.391E+03
6.400E-01,2.460E+03
6.600E-01,2.530E+03
6.800E-01,2.599E+03
7.000E-01,2.669E+03
7.200E-01,2.738E+03
7.400E-01,2.808E+03
7.600E-01,2.877E+03
7.800E-01,2.947E+03
8.000E-01,3.016E+03
8.200E-01,3.086E+03
8.400E-01,3.155E+03
8.600E-01,3.224E+03
8.800E-01,3.294E+03
9.000E-01,3.363E+03
9.200E-01,3.433E+03
9.400E-01,3.503E+03
9.600E-01,3.572E+03
9.800E-01,3.642E+03
1.000E+00,3.711E+03
1.020E+00,3.782E+03
1.040E+00,3.852E+03
1.060E+00,3.923E+03
1.080E+00,3.993E+03
1.100E+00,4.064E+03
1.120E+00,4.134E+03
1.140E+00,4.205E+03
1.160E+00,4.275E+03
1.180E+00,4.346E+03
1.200E+00,4.416E+03
1.220E+00,4.487E+03
1.240E+00,4.558E+03
1.260E+00,4.628E+03
1.280E+00,4.699E+03
1.300E+00,4.769E+03
1.320E+00,4.840E+03
1.340E+00,4.910E+03
1.360E+00,4.981E+03
1.380E+00,5.051E+03
1.400E+00,5.122E+03
1.420E+00,5.193E+03
1.440E+00,5.263E+03
1.460E+00,5.334E+03
1.480E+00,5.404E+03
1.500E+00,5.475E+03
1.520E+00,5.546E+03
1.540E+00,5.616E+03
1.560E+00,5.687E+03
1.580E+00,5.757E+03
1.600E+00,5.828E+03
1.620E+00,5.899E+03
1.640E+00,5.969E+03
1.660E+00,6.040E+03
1.680E+00,6.111E+03
1.700E+00,6.181E+03
1.720E+00,6.252E+03
1.740E+00,6.322E+03
1.760E+00,6.393E+03
1.780E+00,6.464E+03
1.800E+00,6.534E+03
1.820E+00,6.605E+03
1.840E+00,6.676E+03
1.860E+00,6.746E+03
1.880E+00,6.817E+03
1.900E+00,6.888E+03
1.920E+00,6.958E+03
1.940E+00,7.029E+03
1.960E+00,7.100E+03
1.980E+00,7.170E+03
2.000E+00,7.241E+03
