#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.410E+02
4.000E-02,2.885E+02
6.000E-02,3.348E+02
8.000E-02,3.809E+02
1.000E-01,4.270E+02
1.200E-01,4.730E+02
1.400E-01,5.193E+02
1.600E-01,5.656E+02
1.800E-01,6.119E+02
2.000E-01,6.584E+02
2.200E-01,7.046E+02
2.400E-01,7.509E+02
2.600E-01,7.972E+02
2.800E-01,8.438E+02
3.000E-01,8.904E+02
3.200E-01,9.367E+02
3.400E-01,9.830E+02
3.600E-01,1.029E+03
3.800E-01,1.076E+03
4.000E-01,1.123E+03
4.200E-01,1.169E+03
4.400E-01,1.215E+03
4.600E-01,1.262E+03
4.800E-01,1.308E+03
5.000E-01,1.355E+03
5.200E-01,1.401E+03
5.400E-01,1.448E+03
5.600E-01,1.495E+03
5.800E-01,1.541E+03
6.000E-01,1.588E+03
6.200E-01,1.634E+03
6.400E-01,1.681E+03
6.600E-01,1.727E+03
6.800E-01,1.774E+03
7.000E-01,1.820E+03
7.200E-01,1.867E+03
7.400E-01,1.914E+03
7.600E-01,1.960E+03
7.800E-01,2.007E+03
8.000E-01,2.054E+03
8.200E-01,2.100E+03
8.400E-01,2.147E+03
8.600E-01,2.194E+03
8.800E-01,2.240E+03
9.000E-01,2.287E+03
9.200E-01,2.334E+03
9.400E-01,2.380E+03
9.600E-01,2.427E+03
9.800E-01,2.474E+03
1.000E+00,2.521E+03
1.020E+00,2.568E+03
1.040E+00,2.615E+03
1.060E+00,2.662E+03
1.080E+00,2.710E+03
1.100E+00,2.757E+03
1.120E+00,2.804E+03
1.140E+00,2.852E+03
1.160E+00,2.899E+03
1.180E+00,2.946E+03
1.200E+00,2.994E+03
1.220E+00,3.041E+03
1.240E+00,3.088E+03
1.260E+00,3.135E+03
1.280E+00,3.183E+03
1.300E+00,3.230E+03
1.320E+00,3.277E+03
1.340E+00,3.325E+03
1.360E+00,3.372E+03
1.380E+00,3.419E+03
1.400E+00,3.467E+03
1.420E+00,3.514E+03
1.440E+00,3.561E+03
1.460E+00,3.609E+03
1.480E+00,3.656E+03
1.500E+00,3.704E+03
1.520E+00,3.751E+03
1.540E+00,3.798E+03
1.560E+00,3.846E+03
1.580E+00,3.893E+03
1.600E+00,3.940E+03
1.620E+00,3.988E+03
1.640E+00,4.035E+03
1.660E+00,4.082E+03
1.680E+00,4.130E+03
1.700E+00,4.177E+03
1.720E+00,4.225E+03
1.740E+00,4.272E+03
1.760E+00,4.319E+03
1.780E+00,4.367E+03
1.800E+00,4.414E+03
1.820E+00,4.461E+03
1.840E+00,4.509E+03
1.860E+00,4.556E+03
1.880E+00,4.604E+03
1.900E+00,4.651E+03
1.920E+00,4.698E+03
1.940E+00,4.746E+03
1.960E+00,4.793E+03
1.980E+00,4.841E+03
2.000E+00,4.888E+03
