#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,5.839E+01
4.000E-02,3.886E+01
6.000E-02,3.237E+01
8.000E-02,2.929E+01
1.000E-01,2.759E+01
1.200E-01,2.657E+01
1.400E-01,2.593E+01
1.600E-01,2.552E+01
1.800E-01,2.526E+01
2.000E-01,2.511E+01
2.200E-01,2.502E+01
2.400E-01,2.498E+01
2.600E-01,2.498E+01
2.800E-01,2.500E+01
3.000E-01,2.505E+01
3.200E-01,2.511E+01
3.400E-01,2.517E+01
3.600E-01,2.525E+01
3.800E-01,2.533E+01
4.000E-01,2.542E+01
4.200E-01,2.550E+01
4.400E-01,2.559E+01
4.600E-01,2.568E+01
4.800E-01,2.576E+01
5.000E-01,2.585E+01
5.200E-01,2.594E+01
5.400E-01,2.602E+01
5.600E-01,2.611E+01
5.800E-01,2.619E+01
6.000E-01,2.628E+01
6.200E-01,2.636E+01
6.400E-01,2.644E+01
6.600E-01,2.651E+01
6.800E-01,2.659E+01
7.000E-01,2.667E+01
7.200E-01,2.674E+01
7.400E-01,2.681E+01
7.600E-01,2.689E+01
7.800E-01,2.696E+01
8.000E-01,2.703E+01
8.200E-01,2.709E+01
8.400E-01,2.716E+01
8.600E-01,2.723E+01
8.800E-01,2.729E+01
9.000E-01,2.735E+01
9.200E-01,2.742E+01
9.400E-01,2.748E+01
9.600E-01,2.754E+01
9.800E-01,2.759E+01
1.000E+00,2.765E+01
1.020E+00,2.772E+01
1.040E+00,2.778E+01
1.060E+00,2.783E+01
1.080E+00,2.789E+01
1.100E+00,2.794E+01
1.120E+00,2.800E+01
1.140E+00,2.805E+01
1.160E+00,2.810E+01
1.180E+00,2.815E+01
1.200E+00,2.820E+01
1.220E+00,2.825E+01
1.240E+00,2.830E+01
1.260E+00,2.835E+01
1.280E+00,2.840E+01
1.300E+00,2.844E+01
1.320E+00,2.849E+01
1.340E+00,2.854E+01
1.360E+00,2.858E+01
1.380E+00,2.863E+01
1.400E+00,2.867E+01
1.420E+00,2.871E+01
1.440E+00,2.875E+01
1.460E+00,2.880E+01
1.480E+00,2.884E+01
1.500E+00,2.888E+01
1.520E+00,2.892E+01
1.540E+00,2.896E+01
1.560E+00,2.900E+01
1.580E+00,2.903E+01
1.600E+00,2.907E+01
1.620E+00,2.911E+01
1.640E+00,2.915E+01
1.660E+00,2.918E+01
1.680E+00,2.922E+01
1.700E+00,2.926E+01
1.720E+00,2.929E+01
1.740E+00,2.933E+01
1.760E+00,2.936E+01
1.780E+00,2.939E+01
1.800E+00,2.943E+01
1.820E+00,2.946E+01
1.840E+00,2.949E+01
1.860E+00,2.953E+01
1.880E+00,2.956E+01
1.900E+00,2.959E+01
1.920E+00,2.962E+01
1.940E+00,2.965E+01
1.960E+00,2.968E+01
1.980E+00,2.971E+01
2.000E+00,2.974E+01
