#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,5.538E-01
4.000E-02,3.673E-01
6.000E-02,3.054E-01
8.000E-02,2.760E-01
1.000E-01,2.597E-01
1.200E-01,2.498E-01
1.400E-01,2.437E-01
1.600E-01,2.397E-01
1.800E-01,2.371E-01
2.000E-01,2.356E-01
2.200E-01,2.346E-01
2.400E-01,2.342E-01
2.600E-01,2.341E-01
2.800E-01,2.342E-01
3.000E-01,2.345E-01
3.200E-01,2.350E-01
3.400E-01,2.356E-01
3.600E-01,2.362E-01
3.800E-01,2.369E-01
4.000E-01,2.377E-01
4.200E-01,2.385E-01
4.400E-01,2.393E-01
4.600E-01,2.401E-01
4.800E-01,2.409E-01
5.000E-01,2.417E-01
5.200E-01,2.426E-01
5.400E-01,2.434E-01
5.600E-01,2.442E-01
5.800E-01,2.450E-01
6.000E-01,2.459E-01
6.200E-01,2.467E-01
6.400E-01,2.475E-01
6.600E-01,2.483E-01
6.800E-01,2.490E-01
7.000E-01,2.498E-01
7.200E-01,2.506E-01
7.400E-01,2.513E-01
7.600E-01,2.521E-01
7.800E-01,2.528E-01
8.000E-01,2.535E-01
8.200E-01,2.542E-01
8.400E-01,2.549E-01
8.600E-01,2.556E-01
8.800E-01,2.563E-01
9.000E-01,2.570E-01
9.200E-01,2.576E-01
9.400E-01,2.583E-01
9.600E-01,2.589E-01
9.800E-01,2.596E-01
1.000E+00,2.602E-01
1.020E+00,2.609E-01
1.040E+00,2.615E-01
1.060E+00,2.621E-01
1.080E+00,2.627E-01
1.100E+00,2.633E-01
1.120E+00,2.639E-01
1.140E+00,2.645E-01
1.160E+00,2.650E-01
1.180E+00,2.656E-01
1.200E+00,2.662E-01
1.220E+00,2.667E-01
1.240E+00,2.673E-01
1.260E+00,2.678E-01
1.280E+00,2.683E-01
1.300E+00,2.689E-01
1.320E+00,2.694E-01
1.340E+00,2.699E-01
1.360E+00,2.704E-01
1.380E+00,2.709E-01
1.400E+00,2.714E-01
1.420E+00,2.719E-01
1.440E+00,2.724E-01
1.460E+00,2.728E-01
1.480E+00,2.733E-01
1.500E+00,2.738E-01
1.520E+00,2.742E-01
1.540E+00,2.747E-01
1.560E+00,2.751E-01
1.580E+00,2.756E-01
1.600E+00,2.760E-01
1.620E+00,2.764E-01
1.640E+00,2.769E-01
1.660E+00,2.773E-01
1.680E+00,2.777E-01
1.700E+00,2.781E-01
1.720E+00,2.786E-01
1.740E+00,2.790E-01
1.760E+00,2.794E-01
1.780E+00,2.798E-01
1.800E+00,2.802E-01
1.820E+00,2.806E-01
1.840E+00,2.809E-01
1.860E+00,2.813E-01
1.880E+00,2.817E-01
1.900E+00,2.821E-01
1.920E+00,2.825E-01
1.940E+00,2.828E-01
1.960E+00,2.832E-01
1.980E+00,2.836E-01
2.000E+00,2.839E-01
