#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.324E+02
4.000E-02,4.191E+02
6.000E-02,3.484E+02
8.000E-02,3.147E+02
1.000E-01,2.948E+02
1.200E-01,2.825E+02
1.400E-01,2.745E+02
1.600E-01,2.691E+02
1.800E-01,2.654E+02
2.000E-01,2.628E+02
2.200E-01,2.611E+02
2.400E-01,2.599E+02
2.600E-01,2.591E+02
2.800E-01,2.586E+02
3.000E-01,2.584E+02
3.200E-01,2.583E+02
3.400E-01,2.584E+02
3.600E-01,2.586E+02
3.800E-01,2.589E+02
4.000E-01,2.592E+02
4.200E-01,2.596E+02
4.400E-01,2.600E+02
4.600E-01,2.604E+02
4.800E-01,2.609E+02
5.000E-01,2.614E+02
5.200E-01,2.619E+02
5.400E-01,2.624E+02
5.600E-01,2.629E+02
5.800E-01,2.634E+02
6.000E-01,2.639E+02
6.200E-01,2.644E+02
6.400E-01,2.650E+02
6.600E-01,2.655E+02
6.800E-01,2.660E+02
7.000E-01,2.665E+02
7.200E-01,2.670E+02
7.400E-01,2.675E+02
7.600E-01,2.680E+02
7.800E-01,2.684E+02
8.000E-01,2.689E+02
8.200E-01,2.694E+02
8.400E-01,2.699E+02
8.600E-01,2.703E+02
8.800E-01,2.708E+02
9.000E-01,2.712E+02
9.200E-01,2.716E+02
9.400E-01,2.721E+02
9.600E-01,2.725E+02
9.800E-01,2.729E+02
1.000E+00,2.733E+02
1.020E+00,2.738E+02
1.040E+00,2.742E+02
1.060E+00,2.747E+02
1.080E+00,2.751E+02
1.100E+00,2.755E+02
1.120E+00,2.759E+02
1.140E+00,2.763E+02
1.160E+00,2.766E+02
1.180E+00,2.770E+02
1.200E+00,2.774E+02
1.220E+00,2.778E+02
1.240E+00,2.781E+02
1.260E+00,2.785E+02
1.280E+00,2.789E+02
1.300E+00,2.792E+02
1.320E+00,2.796E+02
1.340E+00,2.799E+02
1.360E+00,2.802E+02
1.380E+00,2.806E+02
1.400E+00,2.809E+02
1.420E+00,2.812E+02
1.440E+00,2.815E+02
1.460E+00,2.819E+02
1.480E+00,2.822E+02
1.500E+00,2.825E+02
1.520E+00,2.828E+02
1.540E+00,2.831E+02
1.560E+00,2.834E+02
1.580E+00,2.837E+02
1.600E+00,2.840E+02
1.620E+00,2.842E+02
1.640E+00,2.845E+02
1.660E+00,2.848E+02
1.680E+00,2.851E+02
1.700E+00,2.854E+02
1.720E+00,2.856E+02
1.740E+00,2.859E+02
1.760E+00,2.862E+02
1.780E+00,2.864E+02
1.800E+00,2.867E+02
1.820E+00,2.869E+02
1.840E+00,2.872E+02
1.860E+00,2.874E+02
1.880E+00,2.877E+02
1.900E+00,2.879E+02
1.920E+00,2.882E+02
1.940E+00,2.884E+02
1.960E+00,2.887E+02
1.980E+00,2.889E+02
2.000E+00,2.891E+02
