#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,9.165E+01
4.000E-02,6.100E+01
6.000E-02,5.083E+01
8.000E-02,4.599E+01
1.000E-01,4.332E+01
1.200E-01,4.171E+01
1.400E-01,4.071E+01
1.600E-01,4.007E+01
1.800E-01,3.967E+01
2.000E-01,3.942E+01
2.200E-01,3.928E+01
2.400E-01,3.922E+01
2.600E-01,3.922E+01
2.800E-01,3.925E+01
3.000E-01,3.931E+01
3.200E-01,3.939E+01
3.400E-01,3.948E+01
3.600E-01,3.958E+01
3.800E-01,3.969E+01
4.000E-01,3.981E+01
4.200E-01,3.993E+01
4.400E-01,4.005E+01
4.600E-01,4.017E+01
4.800E-01,4.030E+01
5.000E-01,4.042E+01
5.200E-01,4.054E+01
5.400E-01,4.067E+01
5.600E-01,4.079E+01
5.800E-01,4.091E+01
6.000E-01,4.103E+01
6.200E-01,4.115E+01
6.400E-01,4.126E+01
6.600E-01,4.138E+01
6.800E-01,4.149E+01
7.000E-01,4.160E+01
7.200E-01,4.171E+01
7.400E-01,4.181E+01
7.600E-01,4.192E+01
7.800E-01,4.202E+01
8.000E-01,4.212E+01
8.200E-01,4.222E+01
8.400E-01,4.232E+01
8.600E-01,4.242E+01
8.800E-01,4.251E+01
9.000E-01,4.261E+01
9.200E-01,4.270E+01
9.400E-01,4.279E+01
9.600E-01,4.288E+01
9.800E-01,4.296E+01
1.000E+00,4.305E+01
1.020E+00,4.315E+01
1.040E+00,4.323E+01
1.060E+00,4.332E+01
1.080E+00,4.340E+01
1.100E+00,4.348E+01
1.120E+00,4.356E+01
1.140E+00,4.364E+01
1.160E+00,4.372E+01
1.180E+00,4.379E+01
1.200E+00,4.387E+01
1.220E+00,4.394E+01
1.240E+00,4.401E+01
1.260E+00,4.409E+01
1.280E+00,4.416E+01
1.300E+00,4.423E+01
1.320E+00,4.430E+01
1.340E+00,4.436E+01
1.360E+00,4.443E+01
1.380E+00,4.450E+01
1.400E+00,4.456E+01
1.420E+00,4.463E+01
1.440E+00,4.469E+01
1.460E+00,4.475E+01
1.480E+00,4.481E+01
1.500E+00,4.487E+01
1.520E+00,4.493E+01
1.540E+00,4.499E+01
1.560E+00,4.505E+01
1.580E+00,4.511E+01
1.600E+00,4.516E+01
1.620E+00,4.522E+01
1.640E+00,4.528E+01
1.660E+00,4.533E+01
1.680E+00,4.539E+01
1.700E+00,4.544E+01
1.720E+00,4.549E+01
1.740E+00,4.554E+01
1.760E+00,4.560E+01
1.780E+00,4.565E+01
1.800E+00,4.570E+01
1.820E+00,4.575E+01
1.840E+00,4.580E+01
1.860E+00,4.584E+01
1.880E+00,4.589E+01
1.900E+00,4.594E+01
1.920E+00,4.599E+01
1.940E+00,4.603E+01
1.960E+00,4.608E+01
1.980E+00,4.613E+01
2.000E+00,4.617E+01
