#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,5.548E-01
4.000E-02,3.680E-01
6.000E-02,3.060E-01
8.000E-02,2.766E-01
1.000E-01,2.602E-01
1.200E-01,2.504E-01
1.400E-01,2.442E-01
1.600E-01,2.402E-01
1.800E-01,2.376E-01
2.000E-01,2.361E-01
2.200E-01,2.351E-01
2.400E-01,2.347E-01
2.600E-01,2.346E-01
2.800E-01,2.347E-01
3.000E-01,2.350E-01
3.200E-01,2.355E-01
3.400E-01,2.361E-01
3.600E-01,2.367E-01
3.800E-01,2.374E-01
4.000E-01,2.381E-01
4.200E-01,2.389E-01
4.400E-01,2.397E-01
4.600E-01,2.405E-01
4.800E-01,2.414E-01
5.000E-01,2.422E-01
5.200E-01,2.430E-01
5.400E-01,2.439E-01
5.600E-01,2.447E-01
5.800E-01,2.455E-01
6.000E-01,2.463E-01
6.200E-01,2.471E-01
6.400E-01,2.479E-01
6.600E-01,2.487E-01
6.800E-01,2.495E-01
7.000E-01,2.503E-01
7.200E-01,2.510E-01
7.400E-01,2.518E-01
7.600E-01,2.525E-01
7.800E-01,2.533E-01
8.000E-01,2.540E-01
8.200E-01,2.547E-01
8.400E-01,2.554E-01
8.600E-01,2.561E-01
8.800E-01,2.568E-01
9.000E-01,2.574E-01
9.200E-01,2.581E-01
9.400E-01,2.587E-01
9.600E-01,2.594E-01
9.800E-01,2.600E-01
1.000E+00,2.606E-01
1.020E+00,2.613E-01
1.040E+00,2.619E-01
1.060E+00,2.626E-01
1.080E+00,2.632E-01
1.100E+00,2.638E-01
1.120E+00,2.643E-01
1.140E+00,2.649E-01
1.160E+00,2.655E-01
1.180E+00,2.661E-01
1.200E+00,2.666E-01
1.220E+00,2.672E-01
1.240E+00,2.677E-01
1.260E+00,2.683E-01
1.280E+00,2.688E-01
1.300E+00,2.693E-01
1.320E+00,2.698E-01
1.340E+00,2.703E-01
1.360E+00,2.708E-01
1.380E+00,2.713E-01
1.400E+00,2.718E-01
1.420E+00,2.723E-01
1.440E+00,2.728E-01
1.460E+00,2.733E-01
1.480E+00,2.738E-01
1.500E+00,2.742E-01
1.520E+00,2.747E-01
1.540E+00,2.751E-01
1.560E+00,2.756E-01
1.580E+00,2.760E-01
1.600E+00,2.765E-01
1.620E+00,2.769E-01
1.640E+00,2.773E-01
1.660E+00,2.778E-01
1.680E+00,2.782E-01
1.700E+00,2.786E-01
1.720E+00,2.790E-01
1.740E+00,2.794E-01
1.760E+00,2.798E-01
1.780E+00,2.802E-01
1.800E+00,2.806E-01
1.820E+00,2.810E-01
1.840E+00,2.814E-01
1.860E+00,2.818E-01
1.880E+00,2.822E-01
1.900E+00,2.825E-01
1.920E+00,2.829E-01
1.940E+00,2.833E-01
1.960E+00,2.837E-01
1.980E+00,2.840E-01
2.000E+00,2.844E-01
