#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.335E+02
4.000E-02,4.199E+02
6.000E-02,3.491E+02
8.000E-02,3.153E+02
1.000E-01,2.954E+02
1.200E-01,2.831E+02
1.400E-01,2.751E+02
1.600E-01,2.697E+02
1.800E-01,2.660E+02
2.000E-01,2.634E+02
2.200E-01,2.616E+02
2.400E-01,2.604E+02
2.600E-01,2.596E+02
2.800E-01,2.592E+02
3.000E-01,2.589E+02
3.200E-01,2.589E+02
3.400E-01,2.589E+02
3.600E-01,2.591E+02
3.800E-01,2.594E+02
4.000E-01,2.597E+02
4.200E-01,2.601E+02
4.400E-01,2.605E+02
4.600E-01,2.610E+02
4.800E-01,2.614E+02
5.000E-01,2.619E+02
5.200E-01,2.624E+02
5.400E-01,2.629E+02
5.600E-01,2.634E+02
5.800E-01,2.639E+02
6.000E-01,2.645E+02
6.200E-01,2.650E+02
6.400E-01,2.655E+02
6.600E-01,2.660E+02
6.800E-01,2.665E+02
7.000E-01,2.670E+02
7.200E-01,2.675E+02
7.400E-01,2.680E+02
7.600E-01,2.685E+02
7.800E-01,2.690E+02
8.000E-01,2.694E+02
8.200E-01,2.699E+02
8.400E-01,2.704E+02
8.600E-01,2.708E+02
8.800E-01,2.713E+02
9.000E-01,2.717E+02
9.200E-01,2.722E+02
9.400E-01,2.726E+02
9.600E-01,2.730E+02
9.800E-01,2.734E+02
1.000E+00,2.739E+02
1.020E+00,2.743E+02
1.040E+00,2.748E+02
1.060E+00,2.752E+02
1.080E+00,2.756E+02
1.100E+00,2.760E+02
1.120E+00,2.764E+02
1.140E+00,2.768E+02
1.160E+00,2.772E+02
1.180E+00,2.775E+02
1.200E+00,2.779E+02
1.220E+00,2.783E+02
1.240E+00,2.787E+02
1.260E+00,2.790E+02
1.280E+00,2.794E+02
1.300E+00,2.797E+02
1.320E+00,2.801E+02
1.340E+00,2.804E+02
1.360E+00,2.807E+02
1.380E+00,2.811E+02
1.400E+00,2.814E+02
1.420E+00,2.817E+02
1.440E+00,2.821E+02
1.460E+00,2.824E+02
1.480E+00,2.827E+02
1.500E+00,2.830E+02
1.520E+00,2.833E+02
1.540E+00,2.836E+02
1.560E+00,2.839E+02
1.580E+00,2.842E+02
1.600E+00,2.845E+02
1.620E+00,2.848E+02
1.640E+00,2.850E+02
1.660E+00,2.853E+02
1.680E+00,2.856E+02
1.700E+00,2.859E+02
1.720E+00,2.861E+02
1.740E+00,2.864E+02
1.760E+00,2.867E+02
1.780E+00,2.869E+02
1.800E+00,2.872E+02
1.820E+00,2.875E+02
1.840E+00,2.877E+02
1.860E+00,2.880E+02
1.880E+00,2.882E+02
1.900E+00,2.885E+02
1.920E+00,2.887E+02
1.940E+00,2.889E+02
1.960E+00,2.892E+02
1.980E+00,2.894E+02
2.000E+00,2.896E+02
