#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,4.975E+02
4.000E-02,3.292E+02
6.000E-02,2.735E+02
8.000E-02,2.467E+02
1.000E-01,2.311E+02
1.200E-01,2.214E+02
1.400E-01,2.150E+02
1.600E-01,2.108E+02
1.800E-01,2.078E+02
2.000E-01,2.058E+02
2.200E-01,2.043E+02
2.400E-01,2.033E+02
2.600E-01,2.027E+02
2.800E-01,2.023E+02
3.000E-01,2.021E+02
3.200E-01,2.020E+02
3.400E-01,2.020E+02
3.600E-01,2.021E+02
3.800E-01,2.023E+02
4.000E-01,2.026E+02
4.200E-01,2.028E+02
4.400E-01,2.031E+02
4.600E-01,2.035E+02
4.800E-01,2.038E+02
5.000E-01,2.042E+02
5.200E-01,2.045E+02
5.400E-01,2.049E+02
5.600E-01,2.053E+02
5.800E-01,2.057E+02
6.000E-01,2.061E+02
6.200E-01,2.064E+02
6.400E-01,2.068E+02
6.600E-01,2.072E+02
6.800E-01,2.076E+02
7.000E-01,2.080E+02
7.200E-01,2.083E+02
7.400E-01,2.087E+02
7.600E-01,2.091E+02
7.800E-01,2.094E+02
8.000E-01,2.098E+02
8.200E-01,2.101E+02
8.400E-01,2.105E+02
8.600E-01,2.108E+02
8.800E-01,2.112E+02
9.000E-01,2.115E+02
9.200E-01,2.118E+02
9.400E-01,2.122E+02
9.600E-01,2.125E+02
9.800E-01,2.128E+02
1.000E+00,2.131E+02
1.020E+00,2.135E+02
1.040E+00,2.138E+02
1.060E+00,2.141E+02
1.080E+00,2.144E+02
1.100E+00,2.147E+02
1.120E+00,2.150E+02
1.140E+00,2.153E+02
1.160E+00,2.156E+02
1.180E+00,2.159E+02
1.200E+00,2.162E+02
1.220E+00,2.165E+02
1.240E+00,2.167E+02
1.260E+00,2.170E+02
1.280E+00,2.173E+02
1.300E+00,2.175E+02
1.320E+00,2.178E+02
1.340E+00,2.181E+02
1.360E+00,2.183E+02
1.380E+00,2.186E+02
1.400E+00,2.188E+02
1.420E+00,2.191E+02
1.440E+00,2.193E+02
1.460E+00,2.195E+02
1.480E+00,2.198E+02
1.500E+00,2.200E+02
1.520E+00,2.202E+02
1.540E+00,2.205E+02
1.560E+00,2.207E+02
1.580E+00,2.209E+02
1.600E+00,2.211E+02
1.620E+00,2.213E+02
1.640E+00,2.216E+02
1.660E+00,2.218E+02
1.680E+00,2.220E+02
1.700E+00,2.222E+02
1.720E+00,2.224E+02
1.740E+00,2.226E+02
1.760E+00,2.228E+02
1.780E+00,2.230E+02
1.800E+00,2.232E+02
1.820E+00,2.234E+02
1.840E+00,2.236E+02
1.860E+00,2.238E+02
1.880E+00,2.239E+02
1.900E+00,2.241E+02
1.920E+00,2.243E+02
1.940E+00,2.245E+02
1.960E+00,2.247E+02
1.980E+00,2.248E+02
2.000E+00,2.250E+02
