#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.528E+01
4.000E-02,2.259E+01
6.000E-02,1.826E+01
8.000E-02,1.613E+01
1.000E-01,1.490E+01
1.200E-01,1.413E+01
1.400E-01,1.362E+01
1.600E-01,1.326E+01
1.800E-01,1.302E+01
2.000E-01,1.284E+01
2.200E-01,1.271E+01
2.400E-01,1.263E+01
2.600E-01,1.257E+01
2.800E-01,1.253E+01
3.000E-01,1.251E+01
3.200E-01,1.249E+01
3.400E-01,1.249E+01
3.600E-01,1.250E+01
3.800E-01,1.251E+01
4.000E-01,1.253E+01
4.200E-01,1.255E+01
4.400E-01,1.258E+01
4.600E-01,1.261E+01
4.800E-01,1.264E+01
5.000E-01,1.267E+01
5.200E-01,1.270E+01
5.400E-01,1.273E+01
5.600E-01,1.277E+01
5.800E-01,1.280E+01
6.000E-01,1.284E+01
6.200E-01,1.287E+01
6.400E-01,1.291E+01
6.600E-01,1.294E+01
6.800E-01,1.298E+01
7.000E-01,1.302E+01
7.200E-01,1.305E+01
7.400E-01,1.309E+01
7.600E-01,1.312E+01
7.800E-01,1.316E+01
8.000E-01,1.319E+01
8.200E-01,1.323E+01
8.400E-01,1.326E+01
8.600E-01,1.329E+01
8.800E-01,1.333E+01
9.000E-01,1.336E+01
9.200E-01,1.339E+01
9.400E-01,1.342E+01
9.600E-01,1.346E+01
9.800E-01,1.349E+01
1.000E+00,1.352E+01
1.020E+00,1.355E+01
1.040E+00,1.358E+01
1.060E+00,1.361E+01
1.080E+00,1.364E+01
1.100E+00,1.367E+01
1.120E+00,1.370E+01
1.140E+00,1.372E+01
1.160E+00,1.375E+01
1.180E+00,1.378E+01
1.200E+00,1.380E+01
1.220E+00,1.383E+01
1.240E+00,1.386E+01
1.260E+00,1.388E+01
1.280E+00,1.391E+01
1.300E+00,1.393E+01
1.320E+00,1.396E+01
1.340E+00,1.398E+01
1.360E+00,1.400E+01
1.380E+00,1.403E+01
1.400E+00,1.405E+01
1.420E+00,1.407E+01
1.440E+00,1.410E+01
1.460E+00,1.412E+01
1.480E+00,1.414E+01
1.500E+00,1.416E+01
1.520E+00,1.418E+01
1.540E+00,1.420E+01
1.560E+00,1.422E+01
1.580E+00,1.425E+01
1.600E+00,1.427E+01
1.620E+00,1.429E+01
1.640E+00,1.431E+01
1.660E+00,1.432E+01
1.680E+00,1.434E+01
1.700E+00,1.436E+01
1.720E+00,1.438E+01
1.740E+00,1.440E+01
1.760E+00,1.442E+01
1.780E+00,1.444E+01
1.800E+00,1.446E+01
1.820E+00,1.447E+01
1.840E+00,1.449E+01
1.860E+00,1.451E+01
1.880E+00,1.453E+01
1.900E+00,1.454E+01
1.920E+00,1.456E+01
1.940E+00,1.458E+01
1.960E+00,1.459E+01
1.980E+00,1.461E+01
2.000E+00,1.463E+01
