#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.704E-01
4.000E-02,4.277E-01
6.000E-02,3.450E-01
8.000E-02,3.044E-01
1.000E-01,2.809E-01
1.200E-01,2.661E-01
1.400E-01,2.563E-01
1.600E-01,2.495E-01
1.800E-01,2.447E-01
2.000E-01,2.413E-01
2.200E-01,2.388E-01
2.400E-01,2.371E-01
2.600E-01,2.358E-01
2.800E-01,2.350E-01
3.000E-01,2.345E-01
3.200E-01,2.342E-01
3.400E-01,2.342E-01
3.600E-01,2.342E-01
3.800E-01,2.344E-01
4.000E-01,2.347E-01
4.200E-01,2.351E-01
4.400E-01,2.355E-01
4.600E-01,2.359E-01
4.800E-01,2.364E-01
5.000E-01,2.370E-01
5.200E-01,2.375E-01
5.400E-01,2.381E-01
5.600E-01,2.387E-01
5.800E-01,2.393E-01
6.000E-01,2.400E-01
6.200E-01,2.406E-01
6.400E-01,2.412E-01
6.600E-01,2.418E-01
6.800E-01,2.425E-01
7.000E-01,2.431E-01
7.200E-01,2.437E-01
7.400E-01,2.444E-01
7.600E-01,2.450E-01
7.800E-01,2.456E-01
8.000E-01,2.462E-01
8.200E-01,2.468E-01
8.400E-01,2.474E-01
8.600E-01,2.480E-01
8.800E-01,2.486E-01
9.000E-01,2.492E-01
9.200E-01,2.498E-01
9.400E-01,2.504E-01
9.600E-01,2.510E-01
9.800E-01,2.516E-01
1.000E+00,2.521E-01
1.020E+00,2.527E-01
1.040E+00,2.532E-01
1.060E+00,2.538E-01
1.080E+00,2.543E-01
1.100E+00,2.549E-01
1.120E+00,2.554E-01
1.140E+00,2.559E-01
1.160E+00,2.564E-01
1.180E+00,2.570E-01
1.200E+00,2.575E-01
1.220E+00,2.580E-01
1.240E+00,2.585E-01
1.260E+00,2.589E-01
1.280E+00,2.594E-01
1.300E+00,2.599E-01
1.320E+00,2.604E-01
1.340E+00,2.609E-01
1.360E+00,2.613E-01
1.380E+00,2.618E-01
1.400E+00,2.622E-01
1.420E+00,2.627E-01
1.440E+00,2.631E-01
1.460E+00,2.636E-01
1.480E+00,2.640E-01
1.500E+00,2.644E-01
1.520E+00,2.649E-01
1.540E+00,2.653E-01
1.560E+00,2.657E-01
1.580E+00,2.661E-01
1.600E+00,2.665E-01
1.620E+00,2.670E-01
1.640E+00,2.674E-01
1.660E+00,2.678E-01
1.680E+00,2.682E-01
1.700E+00,2.685E-01
1.720E+00,2.689E-01
1.740E+00,2.693E-01
1.760E+00,2.697E-01
1.780E+00,2.701E-01
1.800E+00,2.705E-01
1.820E+00,2.708E-01
1.840E+00,2.712E-01
1.860E+00,2.716E-01
1.880E+00,2.719E-01
1.900E+00,2.723E-01
1.920E+00,2.726E-01
1.940E+00,2.730E-01
1.960E+00,2.733E-01
1.980E+00,2.737E-01
2.000E+00,2.740E-01
