#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,7.658E+02
4.000E-02,4.882E+02
6.000E-02,3.936E+02
8.000E-02,3.472E+02
1.000E-01,3.204E+02
1.200E-01,3.027E+02
1.400E-01,2.906E+02
1.600E-01,2.820E+02
1.800E-01,2.758E+02
2.000E-01,2.713E+02
2.200E-01,2.678E+02
2.400E-01,2.652E+02
2.600E-01,2.633E+02
2.800E-01,2.618E+02
3.000E-01,2.607E+02
3.200E-01,2.599E+02
3.400E-01,2.593E+02
3.600E-01,2.589E+02
3.800E-01,2.586E+02
4.000E-01,2.585E+02
4.200E-01,2.584E+02
4.400E-01,2.585E+02
4.600E-01,2.586E+02
4.800E-01,2.587E+02
5.000E-01,2.590E+02
5.200E-01,2.592E+02
5.400E-01,2.595E+02
5.600E-01,2.598E+02
5.800E-01,2.601E+02
6.000E-01,2.604E+02
6.200E-01,2.608E+02
6.400E-01,2.611E+02
6.600E-01,2.615E+02
6.800E-01,2.619E+02
7.000E-01,2.623E+02
7.200E-01,2.627E+02
7.400E-01,2.631E+02
7.600E-01,2.634E+02
7.800E-01,2.638E+02
8.000E-01,2.642E+02
8.200E-01,2.646E+02
8.400E-01,2.650E+02
8.600E-01,2.654E+02
8.800E-01,2.658E+02
9.000E-01,2.662E+02
9.200E-01,2.666E+02
9.400E-01,2.670E+02
9.600E-01,2.673E+02
9.800E-01,2.677E+02
1.000E+00,2.681E+02
1.020E+00,2.685E+02
1.040E+00,2.688E+02
1.060E+00,2.692E+02
1.080E+00,2.695E+02
1.100E+00,2.699E+02
1.120E+00,2.703E+02
1.140E+00,2.706E+02
1.160E+00,2.710E+02
1.180E+00,2.713E+02
1.200E+00,2.716E+02
1.220E+00,2.720E+02
1.240E+00,2.723E+02
1.260E+00,2.726E+02
1.280E+00,2.730E+02
1.300E+00,2.733E+02
1.320E+00,2.736E+02
1.340E+00,2.739E+02
1.360E+00,2.742E+02
1.380E+00,2.745E+02
1.400E+00,2.748E+02
1.420E+00,2.751E+02
1.440E+00,2.754E+02
1.460E+00,2.757E+02
1.480E+00,2.760E+02
1.500E+00,2.763E+02
1.520E+00,2.766E+02
1.540E+00,2.769E+02
1.560E+00,2.771E+02
1.580E+00,2.774E+02
1.600E+00,2.777E+02
1.620E+00,2.780E+02
1.640E+00,2.782E+02
1.660E+00,2.785E+02
1.680E+00,2.788E+02
1.700E+00,2.790E+02
1.720E+00,2.793E+02
1.740E+00,2.795E+02
1.760E+00,2.798E+02
1.780E+00,2.800E+02
1.800E+00,2.803E+02
1.820E+00,2.805E+02
1.840E+00,2.808E+02
1.860E+00,2.810E+02
1.880E+00,2.812E+02
1.900E+00,2.815E+02
1.920E+00,2.817E+02
1.940E+00,2.819E+02
1.960E+00,2.822E+02
1.980E+00,2.824E+02
2.000E+00,2.826E+02
