#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.017E+02
4.000E-02,3.830E+02
6.000E-02,3.085E+02
8.000E-02,2.720E+02
1.000E-01,2.509E+02
1.200E-01,2.368E+02
1.400E-01,2.273E+02
1.600E-01,2.205E+02
1.800E-01,2.156E+02
2.000E-01,2.120E+02
2.200E-01,2.093E+02
2.400E-01,2.072E+02
2.600E-01,2.057E+02
2.800E-01,2.045E+02
3.000E-01,2.036E+02
3.200E-01,2.029E+02
3.400E-01,2.024E+02
3.600E-01,2.021E+02
3.800E-01,2.019E+02
4.000E-01,2.017E+02
4.200E-01,2.017E+02
4.400E-01,2.017E+02
4.600E-01,2.017E+02
4.800E-01,2.019E+02
5.000E-01,2.020E+02
5.200E-01,2.022E+02
5.400E-01,2.024E+02
5.600E-01,2.026E+02
5.800E-01,2.028E+02
6.000E-01,2.031E+02
6.200E-01,2.033E+02
6.400E-01,2.036E+02
6.600E-01,2.039E+02
6.800E-01,2.041E+02
7.000E-01,2.044E+02
7.200E-01,2.047E+02
7.400E-01,2.050E+02
7.600E-01,2.053E+02
7.800E-01,2.056E+02
8.000E-01,2.059E+02
8.200E-01,2.062E+02
8.400E-01,2.065E+02
8.600E-01,2.068E+02
8.800E-01,2.071E+02
9.000E-01,2.073E+02
9.200E-01,2.076E+02
9.400E-01,2.079E+02
9.600E-01,2.082E+02
9.800E-01,2.085E+02
1.000E+00,2.088E+02
1.020E+00,2.091E+02
1.040E+00,2.093E+02
1.060E+00,2.096E+02
1.080E+00,2.099E+02
1.100E+00,2.101E+02
1.120E+00,2.104E+02
1.140E+00,2.107E+02
1.160E+00,2.109E+02
1.180E+00,2.112E+02
1.200E+00,2.114E+02
1.220E+00,2.117E+02
1.240E+00,2.119E+02
1.260E+00,2.122E+02
1.280E+00,2.124E+02
1.300E+00,2.127E+02
1.320E+00,2.129E+02
1.340E+00,2.131E+02
1.360E+00,2.134E+02
1.380E+00,2.136E+02
1.400E+00,2.138E+02
1.420E+00,2.141E+02
1.440E+00,2.143E+02
1.460E+00,2.145E+02
1.480E+00,2.147E+02
1.500E+00,2.149E+02
1.520E+00,2.152E+02
1.540E+00,2.154E+02
1.560E+00,2.156E+02
1.580E+00,2.158E+02
1.600E+00,2.160E+02
1.620E+00,2.162E+02
1.640E+00,2.164E+02
1.660E+00,2.166E+02
1.680E+00,2.168E+02
1.700E+00,2.170E+02
1.720E+00,2.172E+02
1.740E+00,2.174E+02
1.760E+00,2.176E+02
1.780E+00,2.178E+02
1.800E+00,2.179E+02
1.820E+00,2.181E+02
1.840E+00,2.183E+02
1.860E+00,2.185E+02
1.880E+00,2.187E+02
1.900E+00,2.188E+02
1.920E+00,2.190E+02
1.940E+00,2.192E+02
1.960E+00,2.194E+02
1.980E+00,2.195E+02
2.000E+00,2.197E+02
