#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,7.070E+01
4.000E-02,4.528E+01
6.000E-02,3.660E+01
8.000E-02,3.233E+01
1.000E-01,2.987E+01
1.200E-01,2.832E+01
1.400E-01,2.729E+01
1.600E-01,2.659E+01
1.800E-01,2.609E+01
2.000E-01,2.574E+01
2.200E-01,2.549E+01
2.400E-01,2.531E+01
2.600E-01,2.519E+01
2.800E-01,2.511E+01
3.000E-01,2.506E+01
3.200E-01,2.504E+01
3.400E-01,2.504E+01
3.600E-01,2.506E+01
3.800E-01,2.508E+01
4.000E-01,2.512E+01
4.200E-01,2.516E+01
4.400E-01,2.521E+01
4.600E-01,2.527E+01
4.800E-01,2.533E+01
5.000E-01,2.539E+01
5.200E-01,2.545E+01
5.400E-01,2.552E+01
5.600E-01,2.558E+01
5.800E-01,2.565E+01
6.000E-01,2.572E+01
6.200E-01,2.578E+01
6.400E-01,2.585E+01
6.600E-01,2.592E+01
6.800E-01,2.598E+01
7.000E-01,2.605E+01
7.200E-01,2.611E+01
7.400E-01,2.618E+01
7.600E-01,2.624E+01
7.800E-01,2.630E+01
8.000E-01,2.637E+01
8.200E-01,2.643E+01
8.400E-01,2.649E+01
8.600E-01,2.655E+01
8.800E-01,2.661E+01
9.000E-01,2.667E+01
9.200E-01,2.672E+01
9.400E-01,2.678E+01
9.600E-01,2.684E+01
9.800E-01,2.689E+01
1.000E+00,2.695E+01
1.020E+00,2.700E+01
1.040E+00,2.705E+01
1.060E+00,2.711E+01
1.080E+00,2.716E+01
1.100E+00,2.721E+01
1.120E+00,2.726E+01
1.140E+00,2.731E+01
1.160E+00,2.736E+01
1.180E+00,2.741E+01
1.200E+00,2.746E+01
1.220E+00,2.750E+01
1.240E+00,2.755E+01
1.260E+00,2.759E+01
1.280E+00,2.764E+01
1.300E+00,2.768E+01
1.320E+00,2.773E+01
1.340E+00,2.777E+01
1.360E+00,2.781E+01
1.380E+00,2.786E+01
1.400E+00,2.790E+01
1.420E+00,2.794E+01
1.440E+00,2.798E+01
1.460E+00,2.802E+01
1.480E+00,2.806E+01
1.500E+00,2.810E+01
1.520E+00,2.814E+01
1.540E+00,2.818E+01
1.560E+00,2.822E+01
1.580E+00,2.825E+01
1.600E+00,2.829E+01
1.620E+00,2.833E+01
1.640E+00,2.836E+01
1.660E+00,2.840E+01
1.680E+00,2.843E+01
1.700E+00,2.847E+01
1.720E+00,2.850E+01
1.740E+00,2.854E+01
1.760E+00,2.857E+01
1.780E+00,2.860E+01
1.800E+00,2.864E+01
1.820E+00,2.867E+01
1.840E+00,2.870E+01
1.860E+00,2.873E+01
1.880E+00,2.876E+01
1.900E+00,2.880E+01
1.920E+00,2.883E+01
1.940E+00,2.886E+01
1.960E+00,2.889E+01
1.980E+00,2.892E+01
2.000E+00,2.895E+01
