#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.716E-01
4.000E-02,4.285E-01
6.000E-02,3.457E-01
8.000E-02,3.050E-01
1.000E-01,2.815E-01
1.200E-01,2.667E-01
1.400E-01,2.568E-01
1.600E-01,2.500E-01
1.800E-01,2.452E-01
2.000E-01,2.418E-01
2.200E-01,2.393E-01
2.400E-01,2.376E-01
2.600E-01,2.363E-01
2.800E-01,2.355E-01
3.000E-01,2.350E-01
3.200E-01,2.347E-01
3.400E-01,2.346E-01
3.600E-01,2.347E-01
3.800E-01,2.349E-01
4.000E-01,2.352E-01
4.200E-01,2.355E-01
4.400E-01,2.359E-01
4.600E-01,2.364E-01
4.800E-01,2.369E-01
5.000E-01,2.375E-01
5.200E-01,2.380E-01
5.400E-01,2.386E-01
5.600E-01,2.392E-01
5.800E-01,2.398E-01
6.000E-01,2.404E-01
6.200E-01,2.410E-01
6.400E-01,2.417E-01
6.600E-01,2.423E-01
6.800E-01,2.429E-01
7.000E-01,2.436E-01
7.200E-01,2.442E-01
7.400E-01,2.448E-01
7.600E-01,2.454E-01
7.800E-01,2.461E-01
8.000E-01,2.467E-01
8.200E-01,2.473E-01
8.400E-01,2.479E-01
8.600E-01,2.485E-01
8.800E-01,2.491E-01
9.000E-01,2.497E-01
9.200E-01,2.503E-01
9.400E-01,2.509E-01
9.600E-01,2.514E-01
9.800E-01,2.520E-01
1.000E+00,2.526E-01
1.020E+00,2.532E-01
1.040E+00,2.537E-01
1.060E+00,2.542E-01
1.080E+00,2.548E-01
1.100E+00,2.553E-01
1.120E+00,2.559E-01
1.140E+00,2.564E-01
1.160E+00,2.569E-01
1.180E+00,2.574E-01
1.200E+00,2.579E-01
1.220E+00,2.584E-01
1.240E+00,2.589E-01
1.260E+00,2.594E-01
1.280E+00,2.599E-01
1.300E+00,2.604E-01
1.320E+00,2.608E-01
1.340E+00,2.613E-01
1.360E+00,2.618E-01
1.380E+00,2.622E-01
1.400E+00,2.627E-01
1.420E+00,2.632E-01
1.440E+00,2.636E-01
1.460E+00,2.640E-01
1.480E+00,2.645E-01
1.500E+00,2.649E-01
1.520E+00,2.653E-01
1.540E+00,2.658E-01
1.560E+00,2.662E-01
1.580E+00,2.666E-01
1.600E+00,2.670E-01
1.620E+00,2.674E-01
1.640E+00,2.678E-01
1.660E+00,2.682E-01
1.680E+00,2.686E-01
1.700E+00,2.690E-01
1.720E+00,2.694E-01
1.740E+00,2.698E-01
1.760E+00,2.702E-01
1.780E+00,2.705E-01
1.800E+00,2.709E-01
1.820E+00,2.713E-01
1.840E+00,2.717E-01
1.860E+00,2.720E-01
1.880E+00,2.724E-01
1.900E+00,2.727E-01
1.920E+00,2.731E-01
1.940E+00,2.734E-01
1.960E+00,2.738E-01
1.980E+00,2.741E-01
2.000E+00,2.745E-01
