#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,7.670E+02
4.000E-02,4.890E+02
6.000E-02,3.944E+02
8.000E-02,3.479E+02
1.000E-01,3.210E+02
1.200E-01,3.033E+02
1.400E-01,2.912E+02
1.600E-01,2.826E+02
1.800E-01,2.764E+02
2.000E-01,2.718E+02
2.200E-01,2.684E+02
2.400E-01,2.658E+02
2.600E-01,2.638E+02
2.800E-01,2.623E+02
3.000E-01,2.612E+02
3.200E-01,2.604E+02
3.400E-01,2.598E+02
3.600E-01,2.594E+02
3.800E-01,2.591E+02
4.000E-01,2.590E+02
4.200E-01,2.590E+02
4.400E-01,2.590E+02
4.600E-01,2.591E+02
4.800E-01,2.593E+02
5.000E-01,2.595E+02
5.200E-01,2.597E+02
5.400E-01,2.600E+02
5.600E-01,2.603E+02
5.800E-01,2.606E+02
6.000E-01,2.610E+02
6.200E-01,2.613E+02
6.400E-01,2.617E+02
6.600E-01,2.620E+02
6.800E-01,2.624E+02
7.000E-01,2.628E+02
7.200E-01,2.632E+02
7.400E-01,2.636E+02
7.600E-01,2.640E+02
7.800E-01,2.644E+02
8.000E-01,2.648E+02
8.200E-01,2.651E+02
8.400E-01,2.655E+02
8.600E-01,2.659E+02
8.800E-01,2.663E+02
9.000E-01,2.667E+02
9.200E-01,2.671E+02
9.400E-01,2.675E+02
9.600E-01,2.679E+02
9.800E-01,2.682E+02
1.000E+00,2.686E+02
1.020E+00,2.690E+02
1.040E+00,2.693E+02
1.060E+00,2.697E+02
1.080E+00,2.701E+02
1.100E+00,2.704E+02
1.120E+00,2.708E+02
1.140E+00,2.711E+02
1.160E+00,2.715E+02
1.180E+00,2.718E+02
1.200E+00,2.722E+02
1.220E+00,2.725E+02
1.240E+00,2.728E+02
1.260E+00,2.731E+02
1.280E+00,2.735E+02
1.300E+00,2.738E+02
1.320E+00,2.741E+02
1.340E+00,2.744E+02
1.360E+00,2.747E+02
1.380E+00,2.750E+02
1.400E+00,2.753E+02
1.420E+00,2.756E+02
1.440E+00,2.759E+02
1.460E+00,2.762E+02
1.480E+00,2.765E+02
1.500E+00,2.768E+02
1.520E+00,2.771E+02
1.540E+00,2.774E+02
1.560E+00,2.777E+02
1.580E+00,2.779E+02
1.600E+00,2.782E+02
1.620E+00,2.785E+02
1.640E+00,2.787E+02
1.660E+00,2.790E+02
1.680E+00,2.793E+02
1.700E+00,2.795E+02
1.720E+00,2.798E+02
1.740E+00,2.800E+02
1.760E+00,2.803E+02
1.780E+00,2.805E+02
1.800E+00,2.808E+02
1.820E+00,2.810E+02
1.840E+00,2.813E+02
1.860E+00,2.815E+02
1.880E+00,2.818E+02
1.900E+00,2.820E+02
1.920E+00,2.822E+02
1.940E+00,2.824E+02
1.960E+00,2.827E+02
1.980E+00,2.829E+02
2.000E+00,2.831E+02
