#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,6.027E+02
4.000E-02,3.837E+02
6.000E-02,3.091E+02
8.000E-02,2.725E+02
1.000E-01,2.514E+02
1.200E-01,2.373E+02
1.400E-01,2.277E+02
1.600E-01,2.210E+02
1.800E-01,2.161E+02
2.000E-01,2.125E+02
2.200E-01,2.097E+02
2.400E-01,2.077E+02
2.600E-01,2.061E+02
2.800E-01,2.049E+02
3.000E-01,2.040E+02
3.200E-01,2.033E+02
3.400E-01,2.028E+02
3.600E-01,2.025E+02
3.800E-01,2.023E+02
4.000E-01,2.021E+02
4.200E-01,2.021E+02
4.400E-01,2.021E+02
4.600E-01,2.022E+02
4.800E-01,2.023E+02
5.000E-01,2.024E+02
5.200E-01,2.026E+02
5.400E-01,2.028E+02
5.600E-01,2.030E+02
5.800E-01,2.032E+02
6.000E-01,2.035E+02
6.200E-01,2.037E+02
6.400E-01,2.040E+02
6.600E-01,2.043E+02
6.800E-01,2.045E+02
7.000E-01,2.048E+02
7.200E-01,2.051E+02
7.400E-01,2.054E+02
7.600E-01,2.057E+02
7.800E-01,2.060E+02
8.000E-01,2.063E+02
8.200E-01,2.066E+02
8.400E-01,2.069E+02
8.600E-01,2.072E+02
8.800E-01,2.075E+02
9.000E-01,2.077E+02
9.200E-01,2.080E+02
9.400E-01,2.083E+02
9.600E-01,2.086E+02
9.800E-01,2.089E+02
1.000E+00,2.092E+02
1.020E+00,2.094E+02
1.040E+00,2.097E+02
1.060E+00,2.100E+02
1.080E+00,2.103E+02
1.100E+00,2.105E+02
1.120E+00,2.108E+02
1.140E+00,2.111E+02
1.160E+00,2.113E+02
1.180E+00,2.116E+02
1.200E+00,2.118E+02
1.220E+00,2.121E+02
1.240E+00,2.123E+02
1.260E+00,2.126E+02
1.280E+00,2.128E+02
1.300E+00,2.131E+02
1.320E+00,2.133E+02
1.340E+00,2.135E+02
1.360E+00,2.138E+02
1.380E+00,2.140E+02
1.400E+00,2.142E+02
1.420E+00,2.145E+02
1.440E+00,2.147E+02
1.460E+00,2.149E+02
1.480E+00,2.151E+02
1.500E+00,2.153E+02
1.520E+00,2.156E+02
1.540E+00,2.158E+02
1.560E+00,2.160E+02
1.580E+00,2.162E+02
1.600E+00,2.164E+02
1.620E+00,2.166E+02
1.640E+00,2.168E+02
1.660E+00,2.170E+02
1.680E+00,2.172E+02
1.700E+00,2.174E+02
1.720E+00,2.176E+02
1.740E+00,2.178E+02
1.760E+00,2.180E+02
1.780E+00,2.182E+02
1.800E+00,2.183E+02
1.820E+00,2.185E+02
1.840E+00,2.187E+02
1.860E+00,2.189E+02
1.880E+00,2.191E+02
1.900E+00,2.192E+02
1.920E+00,2.194E+02
1.940E+00,2.196E+02
1.960E+00,2.198E+02
1.980E+00,2.199E+02
2.000E+00,2.201E+02
