#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.368E+01
4.000E-02,3.073E+01
6.000E-02,3.762E+01
8.000E-02,4.448E+01
1.000E-01,5.136E+01
1.200E-01,5.822E+01
1.400E-01,6.513E+01
1.600E-01,7.204E+01
1.800E-01,7.895E+01
2.000E-01,8.589E+01
2.200E-01,9.279E+01
2.400E-01,9.970E+01
2.600E-01,1.066E+02
2.800E-01,1.136E+02
3.000E-01,1.206E+02
3.200E-01,1.275E+02
3.400E-01,1.344E+02
3.600E-01,1.414E+02
3.800E-01,1.483E+02
4.000E-01,1.553E+02
4.200E-01,1.622E+02
4.400E-01,1.692E+02
4.600E-01,1.761E+02
4.800E-01,1.831E+02
5.000E-01,1.900E+02
5.200E-01,1.970E+02
5.400E-01,2.040E+02
5.600E-01,2.109E+02
5.800E-01,2.179E+02
6.000E-01,2.249E+02
6.200E-01,2.318E+02
6.400E-01,2.388E+02
6.600E-01,2.457E+02
6.800E-01,2.527E+02
7.000E-01,2.597E+02
7.200E-01,2.667E+02
7.400E-01,2.736E+02
7.600E-01,2.806E+02
7.800E-01,2.876E+02
8.000E-01,2.946E+02
8.200E-01,3.016E+02
8.400E-01,3.085E+02
8.600E-01,3.155E+02
8.800E-01,3.225E+02
9.000E-01,3.295E+02
9.200E-01,3.365E+02
9.400E-01,3.435E+02
9.600E-01,3.504E+02
9.800E-01,3.574E+02
1.000E+00,3.644E+02
1.020E+00,3.715E+02
1.040E+00,3.786E+02
1.060E+00,3.857E+02
1.080E+00,3.928E+02
1.100E+00,3.999E+02
1.120E+00,4.070E+02
1.140E+00,4.141E+02
1.160E+00,4.212E+02
1.180E+00,4.283E+02
1.200E+00,4.354E+02
1.220E+00,4.425E+02
1.240E+00,4.496E+02
1.260E+00,4.567E+02
1.280E+00,4.638E+02
1.300E+00,4.709E+02
1.320E+00,4.780E+02
1.340E+00,4.851E+02
1.360E+00,4.922E+02
1.380E+00,4.993E+02
1.400E+00,5.064E+02
1.420E+00,5.135E+02
1.440E+00,5.206E+02
1.460E+00,5.277E+02
1.480E+00,5.348E+02
1.500E+00,5.419E+02
1.520E+00,5.490E+02
1.540E+00,5.561E+02
1.560E+00,5.632E+02
1.580E+00,5.703E+02
1.600E+00,5.774E+02
1.620E+00,5.845E+02
1.640E+00,5.916E+02
1.660E+00,5.987E+02
1.680E+00,6.058E+02
1.700E+00,6.129E+02
1.720E+00,6.200E+02
1.740E+00,6.271E+02
1.760E+00,6.342E+02
1.780E+00,6.413E+02
1.800E+00,6.484E+02
1.820E+00,6.555E+02
1.840E+00,6.627E+02
1.860E+00,6.698E+02
1.880E+00,6.769E+02
1.900E+00,6.840E+02
1.920E+00,6.911E+02
1.940E+00,6.982E+02
1.960E+00,7.053E+02
1.980E+00,7.124E+02
2.000E+00,7.195E+02
