#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.210E-01
4.000E-02,4.002E-01
6.000E-02,4.728E-01
8.000E-02,5.438E-01
1.000E-01,6.142E-01
1.200E-01,6.840E-01
1.400E-01,7.540E-01
1.600E-01,8.238E-01
1.800E-01,8.935E-01
2.000E-01,9.634E-01
2.200E-01,1.033E+00
2.400E-01,1.102E+00
2.600E-01,1.172E+00
2.800E-01,1.241E+00
3.000E-01,1.311E+00
3.200E-01,1.380E+00
3.400E-01,1.450E+00
3.600E-01,1.519E+00
3.800E-01,1.589E+00
4.000E-01,1.658E+00
4.200E-01,1.728E+00
4.400E-01,1.797E+00
4.600E-01,1.867E+00
4.800E-01,1.936E+00
5.000E-01,2.006E+00
5.200E-01,2.075E+00
5.400E-01,2.145E+00
5.600E-01,2.214E+00
5.800E-01,2.284E+00
6.000E-01,2.353E+00
6.200E-01,2.423E+00
6.400E-01,2.492E+00
6.600E-01,2.562E+00
6.800E-01,2.631E+00
7.000E-01,2.701E+00
7.200E-01,2.770E+00
7.400E-01,2.840E+00
7.600E-01,2.910E+00
7.800E-01,2.979E+00
8.000E-01,3.049E+00
8.200E-01,3.119E+00
8.400E-01,3.188E+00
8.600E-01,3.258E+00
8.800E-01,3.327E+00
9.000E-01,3.397E+00
9.200E-01,3.467E+00
9.400E-01,3.536E+00
9.600E-01,3.606E+00
9.800E-01,3.676E+00
1.000E+00,3.746E+00
1.020E+00,3.816E+00
1.040E+00,3.887E+00
1.060E+00,3.957E+00
1.080E+00,4.028E+00
1.100E+00,4.098E+00
1.120E+00,4.169E+00
1.140E+00,4.240E+00
1.160E+00,4.310E+00
1.180E+00,4.381E+00
1.200E+00,4.451E+00
1.220E+00,4.522E+00
1.240E+00,4.593E+00
1.260E+00,4.663E+00
1.280E+00,4.734E+00
1.300E+00,4.804E+00
1.320E+00,4.875E+00
1.340E+00,4.946E+00
1.360E+00,5.016E+00
1.380E+00,5.087E+00
1.400E+00,5.158E+00
1.420E+00,5.228E+00
1.440E+00,5.299E+00
1.460E+00,5.370E+00
1.480E+00,5.440E+00
1.500E+00,5.511E+00
1.520E+00,5.582E+00
1.540E+00,5.652E+00
1.560E+00,5.723E+00
1.580E+00,5.794E+00
1.600E+00,5.864E+00
1.620E+00,5.935E+00
1.640E+00,6.006E+00
1.660E+00,6.076E+00
1.680E+00,6.147E+00
1.700E+00,6.218E+00
1.720E+00,6.289E+00
1.740E+00,6.359E+00
1.760E+00,6.430E+00
1.780E+00,6.501E+00
1.800E+00,6.571E+00
1.820E+00,6.642E+00
1.840E+00,6.713E+00
1.860E+00,6.784E+00
1.880E+00,6.854E+00
1.900E+00,6.925E+00
1.920E+00,6.996E+00
1.940E+00,7.066E+00
1.960E+00,7.137E+00
1.980E+00,7.208E+00
2.000E+00,7.279E+00
