#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.103E+02
4.000E-02,3.804E+02
6.000E-02,4.490E+02
8.000E-02,5.174E+02
1.000E-01,5.860E+02
1.200E-01,6.544E+02
1.400E-01,7.233E+02
1.600E-01,7.923E+02
1.800E-01,8.612E+02
2.000E-01,9.304E+02
2.200E-01,9.991E+02
2.400E-01,1.068E+03
2.600E-01,1.137E+03
2.800E-01,1.206E+03
3.000E-01,1.276E+03
3.200E-01,1.345E+03
3.400E-01,1.414E+03
3.600E-01,1.483E+03
3.800E-01,1.552E+03
4.000E-01,1.622E+03
4.200E-01,1.691E+03
4.400E-01,1.760E+03
4.600E-01,1.829E+03
4.800E-01,1.898E+03
5.000E-01,1.968E+03
5.200E-01,2.037E+03
5.400E-01,2.106E+03
5.600E-01,2.176E+03
5.800E-01,2.245E+03
6.000E-01,2.314E+03
6.200E-01,2.384E+03
6.400E-01,2.453E+03
6.600E-01,2.522E+03
6.800E-01,2.592E+03
7.000E-01,2.661E+03
7.200E-01,2.731E+03
7.400E-01,2.800E+03
7.600E-01,2.870E+03
7.800E-01,2.939E+03
8.000E-01,3.009E+03
8.200E-01,3.078E+03
8.400E-01,3.148E+03
8.600E-01,3.217E+03
8.800E-01,3.287E+03
9.000E-01,3.356E+03
9.200E-01,3.426E+03
9.400E-01,3.495E+03
9.600E-01,3.565E+03
9.800E-01,3.634E+03
1.000E+00,3.704E+03
1.020E+00,3.774E+03
1.040E+00,3.845E+03
1.060E+00,3.915E+03
1.080E+00,3.986E+03
1.100E+00,4.056E+03
1.120E+00,4.127E+03
1.140E+00,4.197E+03
1.160E+00,4.268E+03
1.180E+00,4.339E+03
1.200E+00,4.409E+03
1.220E+00,4.480E+03
1.240E+00,4.550E+03
1.260E+00,4.621E+03
1.280E+00,4.691E+03
1.300E+00,4.762E+03
1.320E+00,4.832E+03
1.340E+00,4.903E+03
1.360E+00,4.974E+03
1.380E+00,5.044E+03
1.400E+00,5.115E+03
1.420E+00,5.185E+03
1.440E+00,5.256E+03
1.460E+00,5.326E+03
1.480E+00,5.397E+03
1.500E+00,5.468E+03
1.520E+00,5.538E+03
1.540E+00,5.609E+03
1.560E+00,5.679E+03
1.580E+00,5.750E+03
1.600E+00,5.821E+03
1.620E+00,5.891E+03
1.640E+00,5.962E+03
1.660E+00,6.033E+03
1.680E+00,6.103E+03
1.700E+00,6.174E+03
1.720E+00,6.244E+03
1.740E+00,6.315E+03
1.760E+00,6.386E+03
1.780E+00,6.456E+03
1.800E+00,6.527E+03
1.820E+00,6.598E+03
1.840E+00,6.668E+03
1.860E+00,6.739E+03
1.880E+00,6.810E+03
1.900E+00,6.880E+03
1.920E+00,6.951E+03
1.940E+00,7.022E+03
1.960E+00,7.092E+03
1.980E+00,7.163E+03
2.000E+00,7.234E+03
