#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.354E+02
4.000E-02,2.829E+02
6.000E-02,3.292E+02
8.000E-02,3.752E+02
1.000E-01,4.213E+02
1.200E-01,4.674E+02
1.400E-01,5.137E+02
1.600E-01,5.600E+02
1.800E-01,6.063E+02
2.000E-01,6.528E+02
2.200E-01,6.989E+02
2.400E-01,7.452E+02
2.600E-01,7.916E+02
2.800E-01,8.381E+02
3.000E-01,8.847E+02
3.200E-01,9.310E+02
3.400E-01,9.774E+02
3.600E-01,1.024E+03
3.800E-01,1.070E+03
4.000E-01,1.117E+03
4.200E-01,1.163E+03
4.400E-01,1.210E+03
4.600E-01,1.256E+03
4.800E-01,1.303E+03
5.000E-01,1.349E+03
5.200E-01,1.396E+03
5.400E-01,1.442E+03
5.600E-01,1.489E+03
5.800E-01,1.535E+03
6.000E-01,1.582E+03
6.200E-01,1.629E+03
6.400E-01,1.675E+03
6.600E-01,1.722E+03
6.800E-01,1.768E+03
7.000E-01,1.815E+03
7.200E-01,1.861E+03
7.400E-01,1.908E+03
7.600E-01,1.955E+03
7.800E-01,2.002E+03
8.000E-01,2.048E+03
8.200E-01,2.095E+03
8.400E-01,2.141E+03
8.600E-01,2.188E+03
8.800E-01,2.235E+03
9.000E-01,2.281E+03
9.200E-01,2.328E+03
9.400E-01,2.375E+03
9.600E-01,2.421E+03
9.800E-01,2.468E+03
1.000E+00,2.515E+03
1.020E+00,2.562E+03
1.040E+00,2.609E+03
1.060E+00,2.657E+03
1.080E+00,2.704E+03
1.100E+00,2.751E+03
1.120E+00,2.799E+03
1.140E+00,2.846E+03
1.160E+00,2.893E+03
1.180E+00,2.941E+03
1.200E+00,2.988E+03
1.220E+00,3.035E+03
1.240E+00,3.082E+03
1.260E+00,3.130E+03
1.280E+00,3.177E+03
1.300E+00,3.224E+03
1.320E+00,3.272E+03
1.340E+00,3.319E+03
1.360E+00,3.366E+03
1.380E+00,3.414E+03
1.400E+00,3.461E+03
1.420E+00,3.508E+03
1.440E+00,3.556E+03
1.460E+00,3.603E+03
1.480E+00,3.650E+03
1.500E+00,3.698E+03
1.520E+00,3.745E+03
1.540E+00,3.793E+03
1.560E+00,3.840E+03
1.580E+00,3.887E+03
1.600E+00,3.935E+03
1.620E+00,3.982E+03
1.640E+00,4.029E+03
1.660E+00,4.077E+03
1.680E+00,4.124E+03
1.700E+00,4.171E+03
1.720E+00,4.219E+03
1.740E+00,4.266E+03
1.760E+00,4.314E+03
1.780E+00,4.361E+03
1.800E+00,4.408E+03
1.820E+00,4.456E+03
1.840E+00,4.503E+03
1.860E+00,4.551E+03
1.880E+00,4.598E+03
1.900E+00,4.645E+03
1.920E+00,4.693E+03
1.940E+00,4.740E+03
1.960E+00,4.787E+03
1.980E+00,4.835E+03
2.000E+00,4.882E+03
