#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,1.530E+02
4.000E-02,8.839E+01
6.000E-02,6.437E+01
8.000E-02,5.166E+01
1.000E-01,4.374E+01
1.200E-01,3.833E+01
1.400E-01,3.438E+01
1.600E-01,3.138E+01
1.800E-01,2.901E+01
2.000E-01,2.711E+01
2.200E-01,2.553E+01
2.400E-01,2.422E+01
2.600E-01,2.310E+01
2.800E-01,2.213E+01
3.000E-01,2.130E+01
3.200E-01,2.057E+01
3.400E-01,1.992E+01
3.600E-01,1.935E+01
3.800E-01,1.884E+01
4.000E-01,1.838E+01
4.200E-01,1.797E+01
4.400E-01,1.759E+01
4.600E-01,1.725E+01
4.800E-01,1.694E+01
5.000E-01,1.665E+01
5.200E-01,1.639E+01
5.400E-01,1.615E+01
5.600E-01,1.593E+01
5.800E-01,1.572E+01
6.000E-01,1.553E+01
6.200E-01,1.535E+01
6.400E-01,1.519E+01
6.600E-01,1.503E+01
6.800E-01,1.489E+01
7.000E-01,1.476E+01
7.200E-01,1.463E+01
7.400E-01,1.451E+01
7.600E-01,1.440E+01
7.800E-01,1.430E+01
8.000E-01,1.420E+01
8.200E-01,1.411E+01
8.400E-01,1.402E+01
8.600E-01,1.394E+01
8.800E-01,1.387E+01
9.000E-01,1.379E+01
9.200E-01,1.372E+01
9.400E-01,1.366E+01
9.600E-01,1.360E+01
9.800E-01,1.354E+01
1.000E+00,1.349E+01
1.020E+00,1.343E+01
1.040E+00,1.338E+01
1.060E+00,1.334E+01
1.080E+00,1.329E+01
1.100E+00,1.325E+01
1.120E+00,1.321E+01
1.140E+00,1.317E+01
1.160E+00,1.314E+01
1.180E+00,1.310E+01
1.200E+00,1.307E+01
1.220E+00,1.304E+01
1.240E+00,1.301E+01
1.260E+00,1.298E+01
1.280E+00,1.295E+01
1.300E+00,1.293E+01
1.320E+00,1.291E+01
1.340E+00,1.288E+01
1.360E+00,1.286E+01
1.380E+00,1.284E+01
1.400E+00,1.282E+01
1.420E+00,1.280E+01
1.440E+00,1.278E+01
1.460E+00,1.277E+01
1.480E+00,1.275E+01
1.500E+00,1.274E+01
1.520E+00,1.272E+01
1.540E+00,1.271E+01
1.560E+00,1.270E+01
1.580E+00,1.268E+01
1.600E+00,1.267E+01
1.620E+00,1.266E+01
1.640E+00,1.265E+01
1.660E+00,1.264E+01
1.680E+00,1.263E+01
1.700E+00,1.262E+01
1.720E+00,1.262E+01
1.740E+00,1.261E+01
1.760E+00,1.260E+01
1.780E+00,1.259E+01
1.800E+00,1.259E+01
1.820E+00,1.258E+01
1.840E+00,1.258E+01
1.860E+00,1.257E+01
1.880E+00,1.257E+01
1.900E+00,1.256E+01
1.920E+00,1.256E+01
1.940E+00,1.256E+01
1.960E+00,1.255E+01
1.980E+00,1.255E+01
2.000E+00,1.255E+01
