#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.966E+00
4.000E-02,1.696E+00
6.000E-02,1.230E+00
8.000E-02,9.848E-01
1.000E-01,8.326E-01
1.200E-01,7.286E-01
1.400E-01,6.530E-01
1.600E-01,5.955E-01
1.800E-01,5.503E-01
2.000E-01,5.138E-01
2.200E-01,4.837E-01
2.400E-01,4.586E-01
2.600E-01,4.372E-01
2.800E-01,4.189E-01
3.000E-01,4.029E-01
3.200E-01,3.890E-01
3.400E-01,3.767E-01
3.600E-01,3.657E-01
3.800E-01,3.560E-01
4.000E-01,3.472E-01
4.200E-01,3.393E-01
4.400E-01,3.322E-01
4.600E-01,3.256E-01
4.800E-01,3.197E-01
5.000E-01,3.143E-01
5.200E-01,3.093E-01
5.400E-01,3.047E-01
5.600E-01,3.004E-01
5.800E-01,2.965E-01
6.000E-01,2.928E-01
6.200E-01,2.895E-01
6.400E-01,2.863E-01
6.600E-01,2.834E-01
6.800E-01,2.806E-01
7.000E-01,2.781E-01
7.200E-01,2.757E-01
7.400E-01,2.734E-01
7.600E-01,2.713E-01
7.800E-01,2.693E-01
8.000E-01,2.675E-01
8.200E-01,2.657E-01
8.400E-01,2.641E-01
8.600E-01,2.625E-01
8.800E-01,2.610E-01
9.000E-01,2.596E-01
9.200E-01,2.583E-01
9.400E-01,2.571E-01
9.600E-01,2.559E-01
9.800E-01,2.548E-01
1.000E+00,2.537E-01
1.020E+00,2.527E-01
1.040E+00,2.518E-01
1.060E+00,2.509E-01
1.080E+00,2.500E-01
1.100E+00,2.492E-01
1.120E+00,2.484E-01
1.140E+00,2.477E-01
1.160E+00,2.470E-01
1.180E+00,2.463E-01
1.200E+00,2.457E-01
1.220E+00,2.451E-01
1.240E+00,2.445E-01
1.260E+00,2.440E-01
1.280E+00,2.434E-01
1.300E+00,2.430E-01
1.320E+00,2.425E-01
1.340E+00,2.420E-01
1.360E+00,2.416E-01
1.380E+00,2.412E-01
1.400E+00,2.408E-01
1.420E+00,2.405E-01
1.440E+00,2.401E-01
1.460E+00,2.398E-01
1.480E+00,2.395E-01
1.500E+00,2.392E-01
1.520E+00,2.389E-01
1.540E+00,2.386E-01
1.560E+00,2.384E-01
1.580E+00,2.381E-01
1.600E+00,2.379E-01
1.620E+00,2.377E-01
1.640E+00,2.375E-01
1.660E+00,2.373E-01
1.680E+00,2.371E-01
1.700E+00,2.369E-01
1.720E+00,2.367E-01
1.740E+00,2.366E-01
1.760E+00,2.364E-01
1.780E+00,2.363E-01
1.800E+00,2.362E-01
1.820E+00,2.361E-01
1.840E+00,2.359E-01
1.860E+00,2.358E-01
1.880E+00,2.357E-01
1.900E+00,2.356E-01
1.920E+00,2.355E-01
1.940E+00,2.355E-01
1.960E+00,2.354E-01
1.980E+00,2.353E-01
2.000E+00,2.353E-01
