Kinetic_energy,Total_st_pw
1.000E-03,1.828E+02
1.500E-03,2.110E+02
2.000E-03,2.359E+02
2.500E-03,2.584E+02
3.000E-03,2.792E+02
4.000E-03,3.126E+02
5.000E-03,3.431E+02
6.000E-03,3.710E+02
7.000E-03,3.967E+02
8.000E-03,4.198E+02
9.000E-03,4.411E+02
1.000E-02,4.610E+02
1.250E-02,5.017E+02
1.500E-02,5.363E+02
1.750E-02,5.665E+02
2.000E-02,5.936E+02
2.250E-02,6.178E+02
2.500E-02,6.393E+02
2.750E-02,6.585E+02
3.000E-02,6.758E+02
3.500E-02,7.066E+02
4.000E-02,7.333E+02
4.500E-02,7.560E+02
5.000E-02,7.746E+02
5.500E-02,7.892E+02
6.000E-02,8.003E+02
6.500E-02,8.085E+02
7.000E-02,8.142E+02
7.500E-02,8.176E+02
8.000E-02,8.191E+02
8.500E-02,8.189E+02
9.000E-02,8.173E+02
9.500E-02,8.143E+02
1.000E-01,8.103E+02
1.250E-01,7.787E+02
1.500E-01,7.374E+02
1.750E-01,6.942E+02
2.000E-01,6.526E+02
2.250E-01,6.143E+02
2.500E-01,5.797E+02
2.750E-01,5.488E+02
3.000E-01,5.212E+02
3.500E-01,4.734E+02
4.000E-01,4.344E+02
4.500E-01,4.026E+02
5.000E-01,3.765E+02
5.500E-01,3.546E+02
6.000E-01,3.353E+02
6.500E-01,3.185E+02
7.000E-01,3.035E+02
7.500E-01,2.900E+02
8.000E-01,2.779E+02
8.500E-01,2.669E+02
9.000E-01,2.568E+02
9.500E-01,2.476E+02
1.000E+00,2.391E+02
1.250E+00,2.049E+02
1.500E+00,1.803E+02
1.750E+00,1.615E+02
2.000E+00,1.466E+02
2.250E+00,1.345E+02
2.500E+00,1.244E+02
2.750E+00,1.159E+02
3.000E+00,1.086E+02
3.500E+00,9.667E+01
4.000E+00,8.729E+01
4.500E+00,7.973E+01
5.000E+00,7.347E+01
5.500E+00,6.821E+01
6.000E+00,6.372E+01
6.500E+00,5.983E+01
7.000E+00,5.643E+01
7.500E+00,5.342E+01
8.000E+00,5.075E+01
8.500E+00,4.836E+01
9.000E+00,4.621E+01
9.500E+00,4.425E+01
1.000E+01,4.247E+01
1.250E+01,3.549E+01
1.500E+01,3.063E+01
1.750E+01,2.703E+01
2.000E+01,2.426E+01
2.500E+01,2.024E+01
2.750E+01,1.874E+01
3.000E+01,1.746E+01
3.500E+01,1.542E+01
4.000E+01,1.385E+01
4.500E+01,1.261E+01
5.000E+01,1.159E+01
5.500E+01,1.075E+01
6.000E+01,1.004E+01
6.500E+01,9.432E+00
7.000E+01,8.904E+00
7.500E+01,8.443E+00
8.000E+01,8.035E+00
8.500E+01,7.673E+00
9.000E+01,7.348E+00
9.500E+01,7.056E+00
1.000E+02,6.791E+00
1.250E+02,5.770E+00
1.500E+02,5.074E+00
1.750E+02,4.570E+00
2.000E+02,4.187E+00
2.250E+02,3.887E+00
2.500E+02,3.646E+00
2.750E+02,3.448E+00
3.000E+02,3.282E+00
3.500E+02,3.022E+00
4.000E+02,2.827E+00
4.500E+02,2.677E+00
5.000E+02,2.558E+00
5.500E+02,2.462E+00
6.000E+02,2.383E+00
6.500E+02,2.318E+00
7.000E+02,2.263E+00
7.500E+02,2.215E+00
8.000E+02,2.173E+00
8.500E+02,2.137E+00
9.000E+02,2.106E+00
9.500E+02,2.078E+00
1.000E+03,2.054E+00
1.500E+03,1.918E+00
2.000E+03,1.871E+00
2.500E+03,1.855E+00
3.000E+03,1.852E+00
4.000E+03,1.864E+00
5.000E+03,1.883E+00
6.000E+03,1.903E+00
7.000E+03,1.923E+00
8.000E+03,1.942E+00
9.000E+03,1.959E+00
1.000E+04,1.976E+00
