#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,3.398E+03
4.000E-02,1.940E+03
6.000E-02,1.406E+03
8.000E-02,1.125E+03
1.000E-01,9.512E+02
1.200E-01,8.323E+02
1.400E-01,7.457E+02
1.600E-01,6.800E+02
1.800E-01,6.283E+02
2.000E-01,5.865E+02
2.200E-01,5.522E+02
2.400E-01,5.234E+02
2.600E-01,4.990E+02
2.800E-01,4.780E+02
3.000E-01,4.598E+02
3.200E-01,4.439E+02
3.400E-01,4.298E+02
3.600E-01,4.173E+02
3.800E-01,4.062E+02
4.000E-01,3.961E+02
4.200E-01,3.871E+02
4.400E-01,3.789E+02
4.600E-01,3.715E+02
4.800E-01,3.647E+02
5.000E-01,3.585E+02
5.200E-01,3.527E+02
5.400E-01,3.475E+02
5.600E-01,3.426E+02
5.800E-01,3.381E+02
6.000E-01,3.340E+02
6.200E-01,3.301E+02
6.400E-01,3.265E+02
6.600E-01,3.231E+02
6.800E-01,3.200E+02
7.000E-01,3.171E+02
7.200E-01,3.142E+02
7.400E-01,3.115E+02
7.600E-01,3.089E+02
7.800E-01,3.065E+02
8.000E-01,3.042E+02
8.200E-01,3.021E+02
8.400E-01,3.001E+02
8.600E-01,2.982E+02
8.800E-01,2.964E+02
9.000E-01,2.946E+02
9.200E-01,2.930E+02
9.400E-01,2.915E+02
9.600E-01,2.900E+02
9.800E-01,2.886E+02
1.000E+00,2.873E+02
1.020E+00,2.860E+02
1.040E+00,2.848E+02
1.060E+00,2.837E+02
1.080E+00,2.826E+02
1.100E+00,2.815E+02
1.120E+00,2.806E+02
1.140E+00,2.796E+02
1.160E+00,2.787E+02
1.180E+00,2.778E+02
1.200E+00,2.770E+02
1.220E+00,2.762E+02
1.240E+00,2.755E+02
1.260E+00,2.747E+02
1.280E+00,2.741E+02
1.300E+00,2.734E+02
1.320E+00,2.728E+02
1.340E+00,2.722E+02
1.360E+00,2.716E+02
1.380E+00,2.710E+02
1.400E+00,2.705E+02
1.420E+00,2.700E+02
1.440E+00,2.695E+02
1.460E+00,2.690E+02
1.480E+00,2.686E+02
1.500E+00,2.681E+02
1.520E+00,2.677E+02
1.540E+00,2.673E+02
1.560E+00,2.669E+02
1.580E+00,2.666E+02
1.600E+00,2.662E+02
1.620E+00,2.659E+02
1.640E+00,2.656E+02
1.660E+00,2.653E+02
1.680E+00,2.650E+02
1.700E+00,2.647E+02
1.720E+00,2.644E+02
1.740E+00,2.641E+02
1.760E+00,2.639E+02
1.780E+00,2.637E+02
1.800E+00,2.634E+02
1.820E+00,2.632E+02
1.840E+00,2.630E+02
1.860E+00,2.628E+02
1.880E+00,2.626E+02
1.900E+00,2.624E+02
1.920E+00,2.622E+02
1.940E+00,2.621E+02
1.960E+00,2.619E+02
1.980E+00,2.617E+02
2.000E+00,2.616E+02
