#Kinetic_energy [GeV],Total_st_pw [MeV/m]
2.000E-02,2.689E+03
4.000E-02,1.530E+03
6.000E-02,1.108E+03
8.000E-02,8.857E+02
1.000E-01,7.481E+02
1.200E-01,6.542E+02
1.400E-01,5.860E+02
1.600E-01,5.341E+02
1.800E-01,4.933E+02
2.000E-01,4.605E+02
2.200E-01,4.334E+02
2.400E-01,4.107E+02
2.600E-01,3.915E+02
2.800E-01,3.750E+02
3.000E-01,3.606E+02
3.200E-01,3.481E+02
3.400E-01,3.370E+02
3.600E-01,3.272E+02
3.800E-01,3.184E+02
4.000E-01,3.105E+02
4.200E-01,3.034E+02
4.400E-01,2.970E+02
4.600E-01,2.911E+02
4.800E-01,2.857E+02
5.000E-01,2.808E+02
5.200E-01,2.764E+02
5.400E-01,2.722E+02
5.600E-01,2.684E+02
5.800E-01,2.648E+02
6.000E-01,2.616E+02
6.200E-01,2.585E+02
6.400E-01,2.557E+02
6.600E-01,2.530E+02
6.800E-01,2.505E+02
7.000E-01,2.481E+02
7.200E-01,2.458E+02
7.400E-01,2.437E+02
7.600E-01,2.417E+02
7.800E-01,2.398E+02
8.000E-01,2.380E+02
8.200E-01,2.363E+02
8.400E-01,2.347E+02
8.600E-01,2.332E+02
8.800E-01,2.318E+02
9.000E-01,2.305E+02
9.200E-01,2.292E+02
9.400E-01,2.280E+02
9.600E-01,2.268E+02
9.800E-01,2.257E+02
1.000E+00,2.247E+02
1.020E+00,2.237E+02
1.040E+00,2.227E+02
1.060E+00,2.218E+02
1.080E+00,2.210E+02
1.100E+00,2.201E+02
1.120E+00,2.194E+02
1.140E+00,2.186E+02
1.160E+00,2.179E+02
1.180E+00,2.172E+02
1.200E+00,2.166E+02
1.220E+00,2.159E+02
1.240E+00,2.153E+02
1.260E+00,2.148E+02
1.280E+00,2.142E+02
1.300E+00,2.137E+02
1.320E+00,2.132E+02
1.340E+00,2.127E+02
1.360E+00,2.123E+02
1.380E+00,2.118E+02
1.400E+00,2.114E+02
1.420E+00,2.110E+02
1.440E+00,2.106E+02
1.460E+00,2.102E+02
1.480E+00,2.099E+02
1.500E+00,2.095E+02
1.520E+00,2.092E+02
1.540E+00,2.089E+02
1.560E+00,2.086E+02
1.580E+00,2.083E+02
1.600E+00,2.080E+02
1.620E+00,2.077E+02
1.640E+00,2.075E+02
1.660E+00,2.072E+02
1.680E+00,2.070E+02
1.700E+00,2.068E+02
1.720E+00,2.066E+02
1.740E+00,2.063E+02
1.760E+00,2.061E+02
1.780E+00,2.060E+02
1.800E+00,2.058E+02
1.820E+00,2.056E+02
1.840E+00,2.054E+02
1.860E+00,2.053E+02
1.880E+00,2.051E+02
1.900E+00,2.049E+02
1.920E+00,2.048E+02
1.940E+00,2.047E+02
1.960E+00,2.045E+02
1.980E+00,2.044E+02
2.000E+00,2.043E+02
